date,confirmed_covid_icu,suspected_covid,suspected_and_confirmed_covid_icu,icu_total,availbility_icu,icu_noncovid,icu_availforcovid,icu_availforcovid_7avrg
2020-03-24,60,99,159,749,200,390,359,
2020-03-25,89,103,192,749,233,324,425,
2020-03-26,147,116,263,753,210,280,473,
2020-03-27,140,112,252,753,181,320,433,
2020-03-28,158,116,274,753,177,302,451,
2020-03-29,199,112,311,753,179,263,490,
2020-03-30,180,135,315,754,192,247,507,449
2020-03-31,213,115,328,760,182,250,510,470
2020-04-01,243,143,386,769,147,236,533,486
2020-04-02,265,117,382,767,160,225,542,496
2020-04-03,264,109,373,767,179,215,552,513
2020-04-04,272,154,426,767,205,136,631,538
2020-04-05,283,126,409,767,220,138,629,558
2020-04-06,314,112,426,798,180,192,606,572
2020-04-07,319,102,421,845,200,224,621,588
2020-04-08,333,116,449,850,177,224,626,601
2020-04-09,364,96,460,855,160,235,620,613
2020-04-10,361,89,450,918,194,274,644,626
2020-04-11,391,86,477,918,187,254,664,630
2020-04-12,344,82,426,915,190,299,616,629
2020-04-13,375,71,446,916,207,263,653,635
2020-04-14,377,85,462,918,156,300,618,635
2020-04-15,410,72,482,918,222,214,704,646
2020-04-16,401,64,465,918,176,277,641,649
2020-04-17,411,62,473,918,183,262,656,651
2020-04-18,400,65,465,918,175,278,640,647
2020-04-19,399,87,486,918,190,242,676,656
2020-04-20,399,73,472,918,175,271,647,655
2020-04-21,401,76,477,918,156,285,633,657
2020-04-22,416,83,499,918,143,276,642,648
2020-04-23,390,85,475,945,165,305,640,648
2020-04-24,396,86,482,1088,161,445,643,646
2020-04-25,422,86,508,1124,202,414,710,656
2020-04-26,437,87,524,1124,175,425,699,660
2020-04-27,441,61,502,1124,162,460,664,662
2020-04-28,421,84,505,1078,166,407,671,667
2020-04-29,443,68,511,1078,186,381,697,675
2020-04-30,417,60,477,1078,179,422,656,678
2020-05-01,429,41,470,1098,227,401,697,685
2020-05-02,428,50,478,1102,201,423,679,681
2020-05-03,440,46,486,1102,186,430,672,677
2020-05-04,442,52,494,1103,193,416,687,680
2020-05-05,416,46,462,1140,218,460,680,682
2020-05-06,442,38,480,1140,198,462,678,679
2020-05-07,436,36,472,1146,188,486,660,679
2020-05-08,418,51,469,1136,212,455,681,677
2020-05-09,426,68,494,1136,234,408,728,684
2020-05-10,438,58,496,1136,209,431,705,689
2020-05-11,430,54,484,1145,193,468,677,687
2020-05-12,428,64,492,1136,172,472,664,685
2020-05-13,416,48,464,1136,181,491,645,680
2020-05-14,388,59,447,1141,196,498,643,678
2020-05-15,386,52,438,1216,233,545,671,677
2020-05-16,384,50,434,1224,275,515,709,674
2020-05-17,374,58,432,1242,315,495,747,680
2020-05-18,369,63,432,1294,295,567,727,687
2020-05-19,344,69,413,915,256,246,669,688
2020-05-20,354,58,412,1059,305,342,717,698
2020-05-21,357,58,415,1052,275,362,690,705
2020-05-22,352,51,403,1054,328,323,731,713
2020-05-23,345,53,398,1054,337,319,735,717
2020-05-24,360,55,415,1054,352,287,767,720
2020-05-25,343,58,401,1054,352,301,753,724
2020-05-26,346,59,405,1075,341,329,746,735
2020-05-27,329,60,389,1091,339,363,728,736
2020-05-28,312,62,374,1119,391,354,765,747
2020-05-29,306,43,349,1119,378,392,727,746
2020-05-30,318,55,373,1105,367,365,740,747
2020-05-31,289,61,350,1100,381,369,731,742
2020-06-01,279,57,336,1028,373,319,709,736
2020-06-02,270,51,321,1020,374,325,695,728
2020-06-03,271,58,329,1093,393,371,722,727
2020-06-04,259,43,302,1100,404,394,706,719
2020-06-05,267,53,320,1100,420,360,740,721
2020-06-06,228,56,284,1100,462,354,746,722
2020-06-07,226,54,280,1100,448,372,728,721
2020-06-08,235,55,290,1107,469,348,759,728
2020-06-09,223,53,276,1068,436,356,712,731
2020-06-10,191,57,248,1088,428,412,676,724
2020-06-11,208,35,243,1091,433,415,676,720
2020-06-12,189,26,215,1091,431,445,646,707
2020-06-13,182,37,219,1089,461,409,680,697
2020-06-14,177,38,215,1089,485,389,700,693
2020-06-15,160,50,210,1092,492,390,702,685
2020-06-16,163,41,204,1085,461,420,665,678
2020-06-17,156,48,204,1077,425,448,629,672
2020-06-18,145,42,187,1077,453,437,640,666
2020-06-19,130,31,161,1080,425,494,586,658
2020-06-20,124,39,163,1080,448,469,611,648
2020-06-21,117,45,162,1080,428,490,590,632
2020-06-22,116,45,161,1076,469,446,630,622
2020-06-23,105,46,151,1076,458,467,609,614
2020-06-24,99,41,140,1076,441,495,581,607
2020-06-25,102,48,150,1076,468,458,618,604
2020-06-26,100,35,135,1072,464,473,599,606
2020-06-27,103,27,130,1058,466,462,596,604
2020-06-28,98,35,133,1058,474,451,607,606
2020-06-29,96,43,139,1058,493,426,632,606
2020-06-30,95,44,139,1058,471,448,610,607
2020-07-01,92,38,130,1128,448,550,578,606
2020-07-02,85,35,120,1131,455,556,575,600
2020-07-03,81,40,121,1131,475,535,596,600
2020-07-04,72,23,95,1131,490,546,585,598
2020-07-05,76,39,115,1131,489,527,604,598
2020-07-06,75,43,118,1131,487,526,605,594
2020-07-07,72,55,127,1131,425,579,552,585
2020-07-08,66,53,119,1131,419,593,538,580
2020-07-09,66,42,108,1131,428,595,536,574
2020-07-10,69,35,104,1134,438,592,542,566
2020-07-11,65,32,97,1134,467,570,564,563
2020-07-12,71,33,104,1134,442,588,546,555
2020-07-13,70,35,105,1134,461,568,566,550
2020-07-14,68,37,105,1134,484,545,589,555
2020-07-15,65,32,97,1134,454,583,551,557
2020-07-16,64,36,100,1134,431,603,531,556
2020-07-17,72,43,115,1134,464,555,579,561
2020-07-18,64,43,107,1134,465,562,572,562
2020-07-19,60,48,108,1134,513,513,621,573
