rollback,group_id,scen_num,sample_num,capacity_multiplier,trigger_activated,exp_name,infected_cumul,crit_det_cumul,hosp_det_cumul,death_det_cumul,hosp_det,Ki_t,crit_det,date,new_infected,new_crit_det,new_hosp_det,new_death_det,reopen,delay,reopen_fct,reopen_fct2,rollback_fct,capacity_multiplier_fct,capacity_multiplier_fct2,date_peak,crit_det_peak,triggerDate,N_no_trigger,N_trigger,perc_trigger,rt_lower,rt_median,rt_upper,pop,capacity,rel_occupancy,capacity_per10000,crit_det_per10000,new_infected_per10000,rel_occupancy_peak,time_since_reopen,time_to_peak_after_reopen,time_to_trigger_after_reopen,time_since_trigger,time_to_peak_after_trigger,scen_id
pr2,896,941,85,0.6,1,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,310196,4407,12731,3223,218,0.099441,107,2020-09-01,,,,,50perc,1daysdelay,"Low
transmission
increse",Low,20,60,60,2020-12-17,703,2020-10-31,109,271,0.713157894736842,,,,2456274,516,0.207364341085271,2.10074283243645,0.43561915323779,,1.36240310077519,0,107.753130590339,60.2432915921316,-60,48,5
pr2,896,941,85,0.6,1,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,311094,4418,12785,3236,224,0.099441,102,2020-09-02,898,11,54,13,50perc,1daysdelay,"Low
transmission
increse",Low,20,60,60,2020-12-17,703,2020-10-31,109,271,0.713157894736842,,,,2456274,516,0.197674418604651,2.10074283243645,0.415263118039763,3.65594392156575,1.36240310077519,1,107.753130590339,60.2432915921316,-59,48,5
pr2,896,941,85,0.6,1,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,311994,4430,12831,3243,225,0.099441,107,2020-09-03,900,12,46,7,50perc,1daysdelay,"Low
transmission
increse",Low,20,60,60,2020-12-17,703,2020-10-31,109,271,0.713157894736842,,,,2456274,516,0.207364341085271,2.10074283243645,0.43561915323779,3.66408633564497,1.36240310077519,2,107.753130590339,60.2432915921316,-58,48,5
pr2,896,941,85,0.6,1,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,312889,4440,12882,3255,233,0.099441,103,2020-09-04,895,10,51,12,50perc,1daysdelay,"Low
transmission
increse",Low,20,60,60,2020-12-17,703,2020-10-31,109,271,0.713157894736842,,,,2456274,516,0.199612403100775,2.10074283243645,0.419334325079368,3.64373030044694,1.36240310077519,3,107.753130590339,60.2432915921316,-57,48,5
pr2,896,941,85,0.6,1,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,313750,4457,12917,3267,214,0.099441,102,2020-09-05,861,17,35,12,50perc,1daysdelay,"Low
transmission
increse",Low,20,60,60,2020-12-17,703,2020-10-31,109,271,0.713157894736842,,,,2456274,516,0.197674418604651,2.10074283243645,0.415263118039763,3.50530926110035,1.36240310077519,4,107.753130590339,60.2432915921316,-56,48,5
pr2,896,941,85,0.6,1,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,314669,4476,12967,3284,211,0.099441,100,2020-09-06,919,19,50,17,50perc,1daysdelay,"Low
transmission
increse",Low,20,60,60,2020-12-17,703,2020-10-31,109,271,0.713157894736842,,,,2456274,516,0.193798449612403,2.10074283243645,0.407120703960552,3.74143926939747,1.36240310077519,5,107.753130590339,60.2432915921316,-55,48,5
pr2,896,941,85,0.6,1,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,315566,4493,13015,3295,214,0.117181503,103,2020-09-07,897,17,48,11,50perc,1daysdelay,"Low
transmission
increse",Low,20,60,60,2020-12-17,703,2020-10-31,109,271,0.713157894736842,1.13825406046161,1.17751241353864,1.21766324062552,2456274,516,0.199612403100775,2.10074283243645,0.419334325079368,3.65187271452615,1.36240310077519,6,107.753130590339,60.2432915921316,-54,48,5
pr2,896,941,85,0.6,1,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,316401,4505,13082,3305,230,0.117181503,100,2020-09-08,835,12,67,10,50perc,1daysdelay,"Low
transmission
increse",Low,20,60,60,2020-12-17,703,2020-10-31,109,271,0.713157894736842,1.12316532653067,1.16129539264385,1.2002623564632,2456274,516,0.193798449612403,2.10074283243645,0.407120703960552,3.39945787807061,1.36240310077519,7,107.753130590339,60.2432915921316,-53,48,5
pr2,896,941,85,0.6,1,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,317292,4516,13131,3319,235,0.117181503,95,2020-09-09,891,11,49,14,50perc,1daysdelay,"Low
transmission
increse",Low,20,60,60,2020-12-17,703,2020-10-31,109,271,0.713157894736842,1.10897928854282,1.14618951998881,1.18422295036186,2456274,516,0.184108527131783,2.10074283243645,0.386764668762524,3.62744547228852,1.36240310077519,8,107.753130590339,60.2432915921316,-52,48,5
pr2,896,941,85,0.6,1,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,318202,4535,13183,3327,234,0.117181503,105,2020-09-10,910,19,52,8,50perc,1daysdelay,"Low
transmission
increse",Low,20,60,60,2020-12-17,703,2020-10-31,109,271,0.713157894736842,1.09548993529595,1.13172682506081,1.16875414623422,2456274,516,0.203488372093023,2.10074283243645,0.427476739158579,3.70479840604102,1.36240310077519,9,107.753130590339,60.2432915921316,-51,48,5
pr2,896,941,85,0.6,1,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,319124,4553,13230,3340,219,0.117181503,103,2020-09-11,922,18,47,13,50perc,1daysdelay,"Low
transmission
increse",Low,20,60,60,2020-12-17,703,2020-10-31,109,271,0.713157894736842,1.08193052481377,1.11742445212794,1.15372423769932,2456274,516,0.199612403100775,2.10074283243645,0.419334325079368,3.75365289051629,1.36240310077519,10,107.753130590339,60.2432915921316,-50,48,5
pr2,896,941,85,0.6,1,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,320064,4565,13271,3356,215,0.117181503,94,2020-09-12,940,12,41,16,50perc,1daysdelay,"Low
transmission
increse",Low,20,60,60,2020-12-17,703,2020-10-31,109,271,0.713157894736842,1.06977353361517,1.10445796203086,1.13999593536411,2456274,516,0.182170542635659,2.10074283243645,0.382693461722919,3.82693461722919,1.36240310077519,11,107.753130590339,60.2432915921316,-49,48,5
pr2,896,941,85,0.6,1,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,321984,4597,13368,3388,206,0.117181503,90,2020-09-13,932,14,45,17,50perc,1daysdelay,"Low
transmission
increse",Low,20,60,60,2020-12-17,703,2020-10-31,109,271,0.713157894736842,1.05978786413643,1.09368640020621,1.12845789289967,2456274,516,0.174418604651163,2.10074283243645,0.366408633564497,3.79436496091234,1.36240310077519,12,107.753130590339,60.2432915921316,-48,48,5
pr2,896,941,85,0.6,1,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,323045,4607,13414,3402,200,0.134922006,85,2020-09-14,1061,10,46,14,50perc,1daysdelay,"Low
transmission
increse",Low,20,60,60,2020-12-17,703,2020-10-31,109,271,0.713157894736842,1.05432264047648,1.08784337153026,1.12201006899846,2456274,516,0.164728682170543,2.10074283243645,0.346052598366469,4.31955066902145,1.36240310077519,13,107.753130590339,60.2432915921316,-47,48,5
pr2,896,941,85,0.6,1,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,324025,4623,13465,3416,202,0.134922006,85,2020-09-15,980,16,51,14,50perc,1daysdelay,"Low
transmission
increse",Low,20,60,60,2020-12-17,703,2020-10-31,109,271,0.713157894736842,1.05381759135379,1.08678441264527,1.1204575849656,2456274,516,0.164728682170543,2.10074283243645,0.346052598366469,3.98978289881341,1.36240310077519,14,107.753130590339,60.2432915921316,-46,48,5
pr2,896,941,85,0.6,1,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,325097,4639,13525,3427,213,0.134922006,88,2020-09-16,1072,16,60,11,50perc,1daysdelay,"Low
transmission
increse",Low,20,60,60,2020-12-17,703,2020-10-31,109,271,0.713157894736842,1.05959917728243,1.09233777483346,1.12571495585931,2456274,516,0.170542635658915,2.10074283243645,0.358266219485286,4.36433394645711,1.36240310077519,15,107.753130590339,60.2432915921316,-45,48,5
pr2,896,941,85,0.6,1,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,326133,4652,13565,3442,209,0.134922006,86,2020-09-17,1036,13,40,15,50perc,1daysdelay,"Low
transmission
increse",Low,20,60,60,2020-12-17,703,2020-10-31,109,271,0.713157894736842,1.0708140634474,1.10343321122997,1.13670816242622,2456274,516,0.166666666666667,2.10074283243645,0.350123805406074,4.21777049303132,1.36240310077519,16,107.753130590339,60.2432915921316,-44,48,5
pr2,896,941,85,0.6,1,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,327197,4670,13623,3450,208,0.134922006,96,2020-09-18,1064,18,58,8,50perc,1daysdelay,"Low
transmission
increse",Low,20,60,60,2020-12-17,703,2020-10-31,109,271,0.713157894736842,1.08633927999289,1.11892666127308,1.15215931318282,2456274,516,0.186046511627907,2.10074283243645,0.39083587580213,4.33176429014027,1.36240310077519,17,107.753130590339,60.2432915921316,-43,48,5
pr2,896,941,85,0.6,1,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,328342,4689,13682,3465,213,0.134922006,98,2020-09-19,1145,19,59,15,50perc,1daysdelay,"Low
transmission
increse",Low,20,60,60,2020-12-17,703,2020-10-31,109,271,0.713157894736842,1.10419383881707,1.13670108859902,1.16975136268963,2456274,516,0.189922480620155,2.10074283243645,0.398978289881341,4.66153206034832,1.36240310077519,18,107.753130590339,60.2432915921316,-42,48,5
pr2,896,941,85,0.6,1,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,329484,4699,13735,3482,224,0.134922006,87,2020-09-20,1142,10,53,17,50perc,1daysdelay,"Low
transmission
increse",Low,20,60,60,2020-12-17,703,2020-10-31,109,271,0.713157894736842,1.12116228758544,1.15348183514181,1.18635170629313,2456274,516,0.168604651162791,2.10074283243645,0.35419501244568,4.6493184392295,1.36240310077519,19,107.753130590339,60.2432915921316,-41,48,5
pr2,896,941,85,0.6,1,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,330661,4713,13792,3492,235,0.152662509,89,2020-09-21,1177,14,57,10,50perc,1daysdelay,"Low
transmission
increse",Low,20,60,60,2020-12-17,703,2020-10-31,109,271,0.713157894736842,1.13637013787324,1.1683579452522,1.20093654623744,2456274,516,0.172480620155039,2.10074283243645,0.362337426524891,4.79181068561569,1.36240310077519,20,107.753130590339,60.2432915921316,-40,48,5
pr2,896,941,85,0.6,1,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,331866,4734,13842,3502,224,0.152662509,96,2020-09-22,1205,21,50,10,50perc,1daysdelay,"Low
transmission
increse",Low,20,60,60,2020-12-17,703,2020-10-31,109,271,0.713157894736842,1.14802085849915,1.17954652620218,1.21163521060332,2456274,516,0.186046511627907,2.10074283243645,0.39083587580213,4.90580448272465,1.36240310077519,21,107.753130590339,60.2432915921316,-39,48,5
pr2,896,941,85,0.6,1,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,333095,4751,13907,3512,230,0.152662509,101,2020-09-23,1229,17,65,10,50perc,1daysdelay,"Low
transmission
increse",Low,20,60,60,2020-12-17,703,2020-10-31,109,271,0.713157894736842,1.15572446168614,1.18675537072886,1.21835847212613,2456274,516,0.195736434108527,2.10074283243645,0.411191911000157,5.00351345167518,1.36240310077519,22,107.753130590339,60.2432915921316,-38,48,5
pr2,896,941,85,0.6,1,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,334390,4767,13975,3522,242,0.152662509,106,2020-09-24,1295,16,68,10,50perc,1daysdelay,"Low
transmission
increse",Low,20,60,60,2020-12-17,703,2020-10-31,109,271,0.713157894736842,1.15920067452704,1.18959118668792,1.22056550407878,2456274,516,0.205426356589147,2.10074283243645,0.431547946198185,5.27221311628914,1.36240310077519,23,107.753130590339,60.2432915921316,-37,48,5
pr2,896,941,85,0.6,1,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,335734,4790,14042,3531,241,0.152662509,116,2020-09-25,1344,23,67,9,50perc,1daysdelay,"Low
transmission
increse",Low,20,60,60,2020-12-17,703,2020-10-31,109,271,0.713157894736842,1.15825832250089,1.18807490991209,1.21831771727785,2456274,516,0.224806201550388,2.10074283243645,0.47226001659424,5.47170226122981,1.36240310077519,24,107.753130590339,60.2432915921316,-36,48,5
