rollback,delay,reopen,capacity_multiplier,n.val,prob_lower,prob_upper,prob_median,prob
weak (20%),"immediate mitigation:
1 day after threshold reached","Low increase in transmission:
Rt approx. 1.15",0,100,0,0.0666666666666667,0.01,0.0123335964634253
weak (20%),"immediate mitigation:
1 day after threshold reached","Low increase in transmission:
Rt approx. 1.15",0.1,100,0,0.0416666666666667,0,0.00747677340720158
weak (20%),"immediate mitigation:
1 day after threshold reached","Low increase in transmission:
Rt approx. 1.15",0.2,100,0,0.0888888888888889,0.0212765957446809,0.022961383859631
weak (20%),"immediate mitigation:
1 day after threshold reached","Low increase in transmission:
Rt approx. 1.15",0.3,100,0,0.106382978723404,0.0217391304347826,0.0296194558168244
weak (20%),"immediate mitigation:
1 day after threshold reached","Low increase in transmission:
Rt approx. 1.15",0.4,100,0,0.204081632653061,0.0941306755260244,0.0979611742028713
weak (20%),"immediate mitigation:
1 day after threshold reached","Low increase in transmission:
Rt approx. 1.15",0.5,100,0.0638297872340426,0.333333333333333,0.178888888888889,0.183086138737954
weak (20%),"immediate mitigation:
1 day after threshold reached","Low increase in transmission:
Rt approx. 1.15",0.6,100,0.159090909090909,0.434782608695652,0.318181818181818,0.311265880608814
weak (20%),"immediate mitigation:
1 day after threshold reached","Low increase in transmission:
Rt approx. 1.15",0.7,100,0.409090909090909,0.695652173913044,0.545454545454545,0.549710902372816
weak (20%),"immediate mitigation:
1 day after threshold reached","Low increase in transmission:
Rt approx. 1.15",0.8,100,0.765957446808511,0.979591836734694,0.886363636363636,0.885569610256981
weak (20%),"immediate mitigation:
1 day after threshold reached","Low increase in transmission:
Rt approx. 1.15",0.9,100,0.951219512195122,1,1,0.989369058644555
weak (20%),"immediate mitigation:
1 day after threshold reached","Low increase in transmission:
Rt approx. 1.15",1,100,1,1,1,1
moderate (40%),"immediate mitigation:
1 day after threshold reached","Low increase in transmission:
Rt approx. 1.15",0,100,0,0,0,0
moderate (40%),"immediate mitigation:
1 day after threshold reached","Low increase in transmission:
Rt approx. 1.15",0.1,100,0,0,0,0
moderate (40%),"immediate mitigation:
1 day after threshold reached","Low increase in transmission:
Rt approx. 1.15",0.2,100,0,0,0,0
moderate (40%),"immediate mitigation:
1 day after threshold reached","Low increase in transmission:
Rt approx. 1.15",0.3,100,0,0,0,0
moderate (40%),"immediate mitigation:
1 day after threshold reached","Low increase in transmission:
Rt approx. 1.15",0.4,100,0,0,0,0
moderate (40%),"immediate mitigation:
1 day after threshold reached","Low increase in transmission:
Rt approx. 1.15",0.5,100,0,0,0,0
moderate (40%),"immediate mitigation:
1 day after threshold reached","Low increase in transmission:
Rt approx. 1.15",0.6,100,0,0,0,0
moderate (40%),"immediate mitigation:
1 day after threshold reached","Low increase in transmission:
Rt approx. 1.15",0.7,100,0.0425531914893617,0.227272727272727,0.130434782608696,0.126866081251205
moderate (40%),"immediate mitigation:
1 day after threshold reached","Low increase in transmission:
Rt approx. 1.15",0.8,100,0.456521739130435,0.790697674418605,0.651668351870576,0.648415840232863
moderate (40%),"immediate mitigation:
1 day after threshold reached","Low increase in transmission:
Rt approx. 1.15",0.9,100,0.909090909090909,1,0.975609756097561,0.96755087139852
moderate (40%),"immediate mitigation:
1 day after threshold reached","Low increase in transmission:
Rt approx. 1.15",1,100,1,1,1,1
strong (60%),"immediate mitigation:
1 day after threshold reached","Low increase in transmission:
Rt approx. 1.15",0,100,0,0,0,0
strong (60%),"immediate mitigation:
1 day after threshold reached","Low increase in transmission:
Rt approx. 1.15",0.1,100,0,0,0,0
strong (60%),"immediate mitigation:
1 day after threshold reached","Low increase in transmission:
Rt approx. 1.15",0.2,100,0,0,0,0
strong (60%),"immediate mitigation:
1 day after threshold reached","Low increase in transmission:
Rt approx. 1.15",0.3,100,0,0,0,0
strong (60%),"immediate mitigation:
1 day after threshold reached","Low increase in transmission:
Rt approx. 1.15",0.4,100,0,0,0,0
strong (60%),"immediate mitigation:
1 day after threshold reached","Low increase in transmission:
Rt approx. 1.15",0.5,100,0,0,0,0
strong (60%),"immediate mitigation:
1 day after threshold reached","Low increase in transmission:
Rt approx. 1.15",0.6,100,0,0,0,0
strong (60%),"immediate mitigation:
1 day after threshold reached","Low increase in transmission:
Rt approx. 1.15",0.7,100,0,0.155555555555556,0.0444444444444444,0.0518421240418094
strong (60%),"immediate mitigation:
1 day after threshold reached","Low increase in transmission:
Rt approx. 1.15",0.8,100,0.342105263157895,0.65,0.5,0.497725603676475
strong (60%),"immediate mitigation:
1 day after threshold reached","Low increase in transmission:
Rt approx. 1.15",0.9,100,0.863636363636364,1,0.95,0.938683107333392
strong (60%),"immediate mitigation:
1 day after threshold reached","Low increase in transmission:
Rt approx. 1.15",1,100,1,1,1,1
very strong (80%),"immediate mitigation:
1 day after threshold reached","Low increase in transmission:
Rt approx. 1.15",0,100,0,0,0,0
very strong (80%),"immediate mitigation:
1 day after threshold reached","Low increase in transmission:
Rt approx. 1.15",0.1,100,0,0,0,0
very strong (80%),"immediate mitigation:
1 day after threshold reached","Low increase in transmission:
Rt approx. 1.15",0.2,100,0,0,0,0
very strong (80%),"immediate mitigation:
1 day after threshold reached","Low increase in transmission:
Rt approx. 1.15",0.3,100,0,0,0,0
very strong (80%),"immediate mitigation:
1 day after threshold reached","Low increase in transmission:
Rt approx. 1.15",0.4,100,0,0,0,0
very strong (80%),"immediate mitigation:
1 day after threshold reached","Low increase in transmission:
Rt approx. 1.15",0.5,100,0,0,0,0
very strong (80%),"immediate mitigation:
1 day after threshold reached","Low increase in transmission:
Rt approx. 1.15",0.6,100,0,0,0,0
very strong (80%),"immediate mitigation:
1 day after threshold reached","Low increase in transmission:
Rt approx. 1.15",0.7,100,0,0.075,0.0212765957446809,0.0174123756791263
very strong (80%),"immediate mitigation:
1 day after threshold reached","Low increase in transmission:
Rt approx. 1.15",0.8,100,0.260869565217391,0.553191489361702,0.397916666666667,0.400963107745658
very strong (80%),"immediate mitigation:
1 day after threshold reached","Low increase in transmission:
Rt approx. 1.15",0.9,100,0.837209302325582,1,0.909090909090909,0.910671032513536
very strong (80%),"immediate mitigation:
1 day after threshold reached","Low increase in transmission:
Rt approx. 1.15",1,100,1,1,1,1
weak (20%),"immediate mitigation:
1 day after threshold reached","High increase in transmission:
Rt approx. 1.25",0,100,0.833333333333333,1,0.936170212765957,0.936453695042898
weak (20%),"immediate mitigation:
1 day after threshold reached","High increase in transmission:
Rt approx. 1.25",0.1,100,0.851063829787234,1,0.9375,0.941600383667329
