date,Ki_t,scen_num,reopen
2020-03-01,1.143,3,100perc
2020-03-01,1.143,6,100perc
2020-03-01,1.143,11,100perc
2020-03-01,1.143,14,100perc
2020-03-01,1.143,17,100perc
2020-03-01,1.143,18,100perc
2020-03-01,1.143,27,100perc
2020-03-01,1.143,30,100perc
2020-03-01,1.143,35,100perc
2020-03-01,1.143,37,100perc
2020-03-01,1.143,49,100perc
2020-03-01,1.143,50,100perc
2020-03-01,1.143,57,100perc
2020-03-01,1.143,58,100perc
2020-03-01,1.143,59,100perc
2020-03-01,1.143,63,100perc
2020-03-01,1.143,65,100perc
2020-03-01,1.143,66,100perc
2020-03-01,1.143,69,100perc
2020-03-01,1.143,71,100perc
2020-03-01,1.143,73,100perc
2020-03-01,1.143,81,100perc
2020-03-01,1.143,101,100perc
2020-03-01,1.143,102,100perc
2020-03-01,1.143,104,100perc
2020-03-01,1.143,110,100perc
2020-03-01,1.143,111,100perc
2020-03-01,1.143,116,100perc
2020-03-01,1.143,122,100perc
2020-03-01,1.143,127,100perc
2020-03-01,1.143,134,100perc
2020-03-01,1.143,137,100perc
2020-03-01,1.143,140,100perc
2020-03-01,1.143,144,100perc
2020-03-01,1.143,147,100perc
2020-03-01,1.143,149,100perc
2020-03-01,1.143,150,100perc
2020-03-01,1.143,151,100perc
2020-03-01,1.143,152,100perc
2020-03-01,1.143,156,100perc
2020-03-01,1.143,157,100perc
2020-03-01,1.143,159,100perc
2020-03-01,1.143,164,100perc
2020-03-01,1.143,165,100perc
2020-03-01,1.143,175,100perc
2020-03-01,1.143,195,100perc
2020-03-01,1.143,199,100perc
2020-03-01,1.143,211,100perc
2020-03-01,1.143,212,100perc
2020-03-01,1.143,223,100perc
2020-03-01,1.143,224,100perc
2020-03-01,1.143,225,100perc
2020-03-01,1.143,227,100perc
2020-03-01,1.143,231,100perc
2020-03-01,1.143,234,100perc
2020-03-01,1.143,235,100perc
2020-03-01,1.143,245,100perc
2020-03-01,1.143,253,100perc
2020-03-01,1.143,258,100perc
2020-03-01,1.143,259,100perc
2020-03-01,1.143,262,100perc
2020-03-01,1.143,264,100perc
2020-03-01,1.143,266,100perc
2020-03-01,1.143,269,100perc
2020-03-01,1.143,271,100perc
2020-03-01,1.143,272,100perc
2020-03-01,1.143,274,100perc
2020-03-01,1.143,276,100perc
2020-03-01,1.143,277,100perc
2020-03-01,1.143,278,100perc
2020-03-01,1.143,279,100perc
