date,rt_median,scen_num,reopen
2020-03-01,,3,100perc
2020-03-01,,6,100perc
2020-03-01,,11,100perc
2020-03-01,,14,100perc
2020-03-01,,17,100perc
2020-03-01,,18,100perc
2020-03-01,,27,100perc
2020-03-01,,30,100perc
2020-03-01,,35,100perc
2020-03-01,,37,100perc
2020-03-01,,49,100perc
2020-03-01,,50,100perc
2020-03-01,,57,100perc
2020-03-01,,58,100perc
2020-03-01,,59,100perc
2020-03-01,,63,100perc
2020-03-01,,65,100perc
2020-03-01,,66,100perc
2020-03-01,,69,100perc
2020-03-01,,71,100perc
2020-03-01,,73,100perc
2020-03-01,,81,100perc
2020-03-01,,101,100perc
2020-03-01,,102,100perc
2020-03-01,,104,100perc
2020-03-01,,110,100perc
2020-03-01,,111,100perc
2020-03-01,,116,100perc
2020-03-01,,122,100perc
2020-03-01,,127,100perc
2020-03-01,,134,100perc
2020-03-01,,137,100perc
2020-03-01,,140,100perc
2020-03-01,,144,100perc
2020-03-01,,147,100perc
2020-03-01,,149,100perc
2020-03-01,,150,100perc
2020-03-01,,151,100perc
2020-03-01,,152,100perc
2020-03-01,,156,100perc
2020-03-01,,157,100perc
2020-03-01,,159,100perc
2020-03-01,,164,100perc
2020-03-01,,165,100perc
2020-03-01,,175,100perc
2020-03-01,,195,100perc
2020-03-01,,199,100perc
2020-03-01,,211,100perc
2020-03-01,,212,100perc
2020-03-01,,223,100perc
2020-03-01,,224,100perc
2020-03-01,,225,100perc
2020-03-01,,227,100perc
2020-03-01,,231,100perc
2020-03-01,,234,100perc
2020-03-01,,235,100perc
2020-03-01,,245,100perc
2020-03-01,,253,100perc
2020-03-01,,258,100perc
2020-03-01,,259,100perc
2020-03-01,,262,100perc
2020-03-01,,264,100perc
2020-03-01,,266,100perc
2020-03-01,,269,100perc
2020-03-01,,271,100perc
2020-03-01,,272,100perc
2020-03-01,,274,100perc
2020-03-01,,276,100perc
2020-03-01,,277,100perc
2020-03-01,,278,100perc
2020-03-01,,279,100perc
2020-03-01,,281,100perc
2020-03-01,,284,100perc
2020-03-01,,293,100perc
2020-03-01,,294,100perc
2020-03-01,,295,100perc
2020-03-01,,296,100perc
2020-03-01,,297,100perc
2020-03-01,,300,100perc
2020-03-01,,310,100perc
2020-03-01,,317,100perc
2020-03-01,,319,100perc
2020-03-01,,320,100perc
2020-03-01,,324,100perc
2020-03-01,,326,100perc
2020-03-01,,335,100perc
2020-03-01,,345,100perc
2020-03-01,,350,100perc
2020-03-01,,354,100perc
2020-03-01,,359,100perc
2020-03-01,,365,100perc
2020-03-01,,366,100perc
2020-03-01,,368,100perc
2020-03-01,,370,100perc
2020-03-01,,375,100perc
2020-03-01,,376,100perc
2020-03-01,,381,100perc
2020-03-01,,384,100perc
2020-03-01,,386,100perc
2020-03-01,,398,100perc
2020-03-02,,3,100perc
2020-03-02,,6,100perc
2020-03-02,,11,100perc
2020-03-02,,14,100perc
2020-03-02,,17,100perc
2020-03-02,,18,100perc
2020-03-02,,27,100perc
2020-03-02,,30,100perc
2020-03-02,,35,100perc
2020-03-02,,37,100perc
2020-03-02,,49,100perc
2020-03-02,,50,100perc
2020-03-02,,57,100perc
2020-03-02,,58,100perc
2020-03-02,,59,100perc
2020-03-02,,63,100perc
2020-03-02,,65,100perc
2020-03-02,,66,100perc
2020-03-02,,69,100perc
2020-03-02,,71,100perc
2020-03-02,,73,100perc
2020-03-02,,81,100perc
2020-03-02,,101,100perc
2020-03-02,,102,100perc
2020-03-02,,104,100perc
2020-03-02,,110,100perc
2020-03-02,,111,100perc
2020-03-02,,116,100perc
2020-03-02,,122,100perc
2020-03-02,,127,100perc
