time_since_trigger,group_id,sample_num,rollback,reopen,capacity_multiplier,date_peak,crit_det_peak,rollback_fct
37,99,101,pr0,100perc,0,2020-12-10,1165,none (0%)
46,328,334,pr0,100perc,0,2020-12-12,1437,none (0%)
47,49,49,pr0,100perc,0,2020-12-13,2079,none (0%)
42,303,309,pr0,100perc,0,2020-12-13,1267,none (0%)
43,358,365,pr0,100perc,0,2020-12-13,1310,none (0%)
32,157,163,pr0,100perc,0,2020-12-14,872,none (0%)
50,217,223,pr0,100perc,0,2020-12-14,1842,none (0%)
42,289,295,pr0,100perc,0,2020-12-14,1290,none (0%)
52,290,296,pr0,100perc,0,2020-12-14,2914,none (0%)
50,317,323,pr0,100perc,0,2020-12-14,1977,none (0%)
41,101,103,pr0,100perc,0,2020-12-15,1026,none (0%)
47,287,293,pr0,100perc,0,2020-12-15,1685,none (0%)
47,367,374,pr0,100perc,0,2020-12-15,1616,none (0%)
45,228,234,pr0,100perc,0,2020-12-16,1732,none (0%)
47,6,5,pr0,100perc,0,2020-12-17,1541,none (0%)
41,143,149,pr0,100perc,0,2020-12-17,1095,none (0%)
41,246,252,pr0,100perc,0,2020-12-17,1094,none (0%)
41,246,252,pr0,100perc,0,2020-12-17,1094,none (0%)
46,274,280,pr0,100perc,0,2020-12-17,1640,none (0%)
49,357,364,pr0,100perc,0,2020-12-17,2087,none (0%)
47,27,26,pr0,100perc,0,2020-12-18,1945,none (0%)
42,56,56,pr0,100perc,0,2020-12-18,1484,none (0%)
42,56,56,pr0,100perc,0,2020-12-18,1484,none (0%)
51,269,275,pr0,100perc,0,2020-12-18,1562,none (0%)
47,70,70,pr0,100perc,0,2020-12-19,1841,none (0%)
51,116,121,pr0,100perc,0,2020-12-19,2098,none (0%)
48,142,148,pr0,100perc,0,2020-12-19,1453,none (0%)
43,205,211,pr0,100perc,0,2020-12-19,1235,none (0%)
43,368,375,pr0,100perc,0,2020-12-19,1675,none (0%)
43,368,375,pr0,100perc,0,2020-12-19,1675,none (0%)
48,158,164,pr0,100perc,0,2020-12-20,2155,none (0%)
50,267,273,pr0,100perc,0,2020-12-20,1906,none (0%)
44,313,319,pr0,100perc,0,2020-12-20,1217,none (0%)
46,390,397,pr0,100perc,0,2020-12-20,1649,none (0%)
46,18,17,pr0,100perc,0,2020-12-21,1390,none (0%)
45,68,68,pr0,100perc,0,2020-12-21,1366,none (0%)
50,204,210,pr0,100perc,0,2020-12-21,1863,none (0%)
51,338,344,pr0,100perc,0,2020-12-21,2345,none (0%)
47,351,358,pr0,100perc,0,2020-12-21,2136,none (0%)
51,188,194,pr0,100perc,0,2020-12-22,1847,none (0%)
44,360,367,pr0,100perc,0,2020-12-22,1543,none (0%)
54,376,383,pr0,100perc,0,2020-12-22,1441,none (0%)
48,37,36,pr0,100perc,0,2020-12-23,1682,none (0%)
58,108,110,pr0,100perc,0,2020-12-23,3239,none (0%)
47,113,115,pr0,100perc,0,2020-12-23,1616,none (0%)
