time_since_trigger,group_id,rollback,reopen,capacity_multiplier,date_peak,crit_det_peak,rollback_fct
48,285,pr0,50perc,0,2021-01-12,697,none (0%)
50,268,pr0,50perc,0,2021-01-13,668,none (0%)
53,48,pr0,50perc,0,2021-01-15,929,none (0%)
52,326,pr0,50perc,0,2021-01-15,616,none (0%)
45,6,pr0,50perc,0,2021-01-16,685,none (0%)
36,287,pr0,50perc,0,2021-01-18,553,none (0%)
36,287,pr0,50perc,0,2021-01-18,553,none (0%)
62,288,pr0,50perc,0,2021-01-18,1288,none (0%)
57,218,pr0,50perc,0,2021-01-18,798,none (0%)
26,131,pr0,50perc,0,2021-01-21,468,none (0%)
33,245,pr0,50perc,0,2021-01-22,448,none (0%)
55,266,pr0,50perc,0,2021-01-24,830,none (0%)
49,273,pr0,50perc,0,2021-01-24,674,none (0%)
45,301,pr0,50perc,0,2021-01-25,550,none (0%)
46,143,pr0,50perc,0,2021-01-26,570,none (0%)
35,206,pr0,50perc,0,2021-01-27,489,none (0%)
50,99,pr0,50perc,0,2021-01-28,529,none (0%)
44,107,pr0,50perc,0,2021-01-28,749,none (0%)
70,315,pr0,50perc,0,2021-01-28,890,none (0%)
54,25,pr0,50perc,0,2021-01-29,847,none (0%)
43,144,pr0,50perc,0,2021-01-29,484,none (0%)
61,362,pr0,50perc,0,2021-01-29,711,none (0%)
56,353,pr0,50perc,0,2021-01-30,558,none (0%)
42,101,pr0,50perc,0,2021-02-01,427,none (0%)
61,116,pr0,50perc,0,2021-02-01,892,none (0%)
52,153,pr0,50perc,0,2021-02-01,674,none (0%)
53,189,pr0,50perc,0,2021-02-01,766,none (0%)
67,352,pr0,50perc,0,2021-02-01,893,none (0%)
50,121,pr0,50perc,0,2021-02-02,675,none (0%)
43,311,pr0,50perc,0,2021-02-02,518,none (0%)
40,357,pr0,50perc,0,2021-02-02,620,none (0%)
58,98,pr0,50perc,0,2021-02-03,813,none (0%)
55,60,pr0,50perc,0,2021-02-04,762,none (0%)
64,169,pr0,50perc,0,2021-02-04,1079,none (0%)
18,256,pr0,50perc,0,2021-02-04,419,none (0%)
74,108,pr0,50perc,0,2021-02-05,1389,none (0%)
52,224,pr0,50perc,0,2021-02-05,691,none (0%)
60,284,pr0,50perc,0,2021-02-05,794,none (0%)
64,68,pr0,50perc,0,2021-02-06,824,none (0%)
41,193,pr0,50perc,0,2021-02-06,545,none (0%)
55,3,pr0,50perc,0,2021-02-06,712,none (0%)
55,3,pr0,50perc,0,2021-02-06,712,none (0%)
51,16,pr0,50perc,0,2021-02-06,554,none (0%)
55,113,pr0,50perc,0,2021-02-06,698,none (0%)
55,113,pr0,50perc,0,2021-02-06,698,none (0%)
69,276,pr0,50perc,0,2021-02-06,809,none (0%)
54,54,pr0,50perc,0,2021-02-07,651,none (0%)
28,128,pr0,50perc,0,2021-02-07,416,none (0%)
67,238,pr0,50perc,0,2021-02-07,852,none (0%)
54,271,pr0,50perc,0,2021-02-07,613,none (0%)
45,286,pr0,50perc,0,2021-02-07,617,none (0%)
63,269,pr0,50perc,0,2021-02-08,808,none (0%)
36,373,pr0,50perc,0,2021-02-08,452,none (0%)
69,228,pr0,50perc,0,2021-02-09,717,none (0%)
64,346,pr0,50perc,0,2021-02-09,897,none (0%)
52,47,pr0,50perc,0,2021-02-10,567,none (0%)
22,158,pr0,50perc,0,2021-02-10,335,none (0%)
71,335,pr0,50perc,0,2021-02-10,968,none (0%)
43,355,pr0,50perc,0,2021-02-10,575,none (0%)
73,159,pr0,50perc,0,2021-02-11,925,none (0%)
64,371,pr0,50perc,0,2021-02-11,617,none (0%)
66,379,pr0,50perc,0,2021-02-12,683,none (0%)
45,15,pr0,50perc,0,2021-02-13,545,none (0%)
62,363,pr0,50perc,0,2021-02-13,660,none (0%)
61,227,pr0,50perc,0,2021-02-15,693,none (0%)
,254,pr0,50perc,0,2021-02-15,279,none (0%)
61,62,pr0,50perc,0,2021-02-16,685,none (0%)
63,63,pr0,50perc,0,2021-02-16,740,none (0%)
47,250,pr0,50perc,0,2021-02-16,502,none (0%)
39,264,pr0,50perc,0,2021-02-16,572,none (0%)
55,55,pr0,50perc,0,2021-02-18,604,none (0%)
58,70,pr0,50perc,0,2021-02-19,668,none (0%)
65,219,pr0,50perc,0,2021-02-19,855,none (0%)
78,33,pr0,50perc,0,2021-02-20,959,none (0%)
69,56,pr0,50perc,0,2021-02-20,807,none (0%)
67,310,pr0,50perc,0,2021-02-20,793,none (0%)
47,368,pr0,50perc,0,2021-02-21,473,none (0%)
56,66,pr0,50perc,0,2021-02-22,549,none (0%)
54,78,pr0,50perc,0,2021-02-22,556,none (0%)
74,205,pr0,50perc,0,2021-02-22,693,none (0%)
54,270,pr0,50perc,0,2021-02-22,599,none (0%)
50,217,pr0,50perc,0,2021-02-24,614,none (0%)
49,339,pr0,50perc,0,2021-02-24,573,none (0%)
71,35,pr0,50perc,0,2021-02-25,616,none (0%)
63,150,pr0,50perc,0,2021-02-25,737,none (0%)
61,251,pr0,50perc,0,2021-02-25,613,none (0%)
72,138,pr0,50perc,0,2021-02-26,580,none (0%)
64,291,pr0,50perc,0,2021-02-28,618,none (0%)
53,134,pr0,50perc,0,2021-03-01,602,none (0%)
30,317,pr0,50perc,0,2021-03-02,426,none (0%)
25,146,pr0,50perc,0,2021-03-03,431,none (0%)
69,28,pr0,50perc,0,2021-03-04,899,none (0%)
63,145,pr0,50perc,0,2021-03-06,530,none (0%)
65,13,pr0,50perc,0,2021-03-08,677,none (0%)
59,141,pr0,50perc,0,2021-03-09,576,none (0%)
66,308,pr0,50perc,0,2021-03-09,545,none (0%)
54,151,pr0,50perc,0,2021-03-11,658,none (0%)
73,221,pr0,50perc,0,2021-03-13,613,none (0%)
42,342,pr0,50perc,0,2021-03-15,386,none (0%)
68,261,pr0,50perc,0,2021-03-17,560,none (0%)
66,263,pr0,50perc,0,2021-03-19,491,none (0%)
70,10,pr0,50perc,0,2021-03-21,556,none (0%)
68,258,pr0,50perc,0,2021-03-23,668,none (0%)
26,842,pr2,50perc,0.6,2020-12-07,565,weak (20%)
15,2320,pr2,50perc,0.6,2020-12-08,533,weak (20%)
21,1427,pr2,50perc,0.6,2020-12-13,495,weak (20%)
18,3797,pr2,50perc,0.6,2020-12-16,430,weak (20%)
35,3473,pr2,50perc,0.6,2020-12-17,456,weak (20%)
25,3989,pr2,50perc,0.6,2020-12-18,441,weak (20%)
21,3362,pr2,50perc,0.6,2020-12-19,437,weak (20%)
33,3895,pr2,50perc,0.6,2020-12-19,498,weak (20%)
15,4140,pr2,50perc,0.6,2020-12-21,438,weak (20%)
22,2733,pr2,50perc,0.6,2020-12-23,444,weak (20%)
22,2786,pr2,50perc,0.6,2020-12-24,492,weak (20%)
28,1542,pr2,50perc,0.6,2020-12-25,411,weak (20%)
25,23,pr2,50perc,0.6,2020-12-25,492,weak (20%)
41,521,pr2,50perc,0.6,2020-12-25,535,weak (20%)
16,2807,pr2,50perc,0.6,2020-12-27,447,weak (20%)
38,3049,pr2,50perc,0.6,2020-12-27,590,weak (20%)
19,3957,pr2,50perc,0.6,2020-12-27,419,weak (20%)
30,1322,pr2,50perc,0.6,2020-12-28,495,weak (20%)
23,3038,pr2,50perc,0.6,2020-12-28,486,weak (20%)
44,3082,pr2,50perc,0.6,2020-12-28,568,weak (20%)
7,2716,pr2,50perc,0.6,2020-12-29,390,weak (20%)
35,510,pr2,50perc,0.6,2020-12-29,456,weak (20%)
43,3114,pr2,50perc,0.6,2020-12-30,588,weak (20%)
20,3219,pr2,50perc,0.6,2020-12-30,397,weak (20%)
38,2839,pr2,50perc,0.6,2020-12-31,585,weak (20%)
39,1553,pr2,50perc,0.6,2021-01-01,469,weak (20%)
40,737,pr2,50perc,0.6,2021-01-02,574,weak (20%)
9,179,pr2,50perc,0.6,2021-01-02,378,weak (20%)
31,2426,pr2,50perc,0.6,2021-01-03,501,weak (20%)
18,4010,pr2,50perc,0.6,2021-01-03,394,weak (20%)
22,1649,pr2,50perc,0.6,2021-01-06,430,weak (20%)
27,2860,pr2,50perc,0.6,2021-01-06,458,weak (20%)
17,3071,pr2,50perc,0.6,2021-01-06,370,weak (20%)
30,2395,pr2,50perc,0.6,2021-01-08,419,weak (20%)
14,2818,pr2,50perc,0.6,2021-01-08,452,weak (20%)
39,3841,pr2,50perc,0.6,2021-01-08,493,weak (20%)
44,1491,pr2,50perc,0.6,2021-01-09,537,weak (20%)
38,1712,pr2,50perc,0.6,2021-01-09,485,weak (20%)
45,2027,pr2,50perc,0.6,2021-01-09,447,weak (20%)
23,2071,pr2,50perc,0.6,2021-01-09,441,weak (20%)
47,2192,pr2,50perc,0.6,2021-01-09,492,weak (20%)
20,2437,pr2,50perc,0.6,2021-01-09,445,weak (20%)
24,2755,pr2,50perc,0.6,2021-01-09,494,weak (20%)
21,658,pr2,50perc,0.6,2021-01-09,388,weak (20%)
29,1269,pr2,50perc,0.6,2021-01-10,458,weak (20%)
25,135,pr2,50perc,0.6,2021-01-11,469,weak (20%)
55,679,pr2,50perc,0.6,2021-01-11,597,weak (20%)
46,1162,pr2,50perc,0.6,2021-01-12,610,weak (20%)
32,2881,pr2,50perc,0.6,2021-01-12,353,weak (20%)
17,1204,pr2,50perc,0.6,2021-01-13,397,weak (20%)
24,2352,pr2,50perc,0.6,2021-01-13,405,weak (20%)
20,3674,pr2,50perc,0.6,2021-01-13,444,weak (20%)
39,3725,pr2,50perc,0.6,2021-01-13,490,weak (20%)
27,3313,pr2,50perc,0.6,2021-01-14,500,weak (20%)
