rollback,group_id,scen_num,sample_num,capacity_multiplier,trigger_activated,exp_name,infected_cumul,crit_det_cumul,hosp_det_cumul,death_det_cumul,hosp_det,Ki_t,crit_det,date,new_infected,new_crit_det,new_hosp_det,new_death_det,reopen,delay,reopen_fct,reopen_fct2,rollback_fct,capacity_multiplier_fct,capacity_multiplier_fct2,date_peak,crit_det_peak,triggerDate,N_trigger,N_no_trigger,perc_trigger,rt_lower,rt_median,rt_upper,pop,capacity,rel_occupancy,capacity_per10000,crit_det_per10000,new_infected_per10000,rel_occupancy_peak,time_since_reopen,time_to_peak_after_reopen,time_to_trigger_after_reopen,time_since_trigger,time_to_peak_after_trigger,scen_id
pr2,774,886,80,0.6,1,20210517_IL_localeEMS_11_100perc_1daysdelay_pr2_triggeredrollback_reopen,273637,3284,9836,2202,187,0.099441,64,2020-09-01,,,,,100perc,1daysdelay,"High
transmission
increase",High,20,60,60,2020-12-07,1492,2020-10-19,88,0,1,,,,2456274,516,0.124031007751938,2.10074283243645,0.260557250534753,,2.89147286821705,0,97.3237924865827,48.865831842577,-49,48,4
pr2,774,886,80,0.6,1,20210517_IL_localeEMS_11_100perc_1daysdelay_pr2_triggeredrollback_reopen,274448,3292,9873,2213,191,0.099441,59,2020-09-02,811,8,37,11,100perc,1daysdelay,"High
transmission
increase",High,20,60,60,2020-12-07,1492,2020-10-19,88,0,1,,,,2456274,516,0.114341085271318,2.10074283243645,0.240201215336726,3.30174890912007,2.89147286821705,1,97.3237924865827,48.865831842577,-48,48,4
pr2,774,886,80,0.6,1,20210517_IL_localeEMS_11_100perc_1daysdelay_pr2_triggeredrollback_reopen,275199,3302,9918,2222,195,0.099441,58,2020-09-03,751,10,45,9,100perc,1daysdelay,"High
transmission
increase",High,20,60,60,2020-12-07,1492,2020-10-19,88,0,1,,,,2456274,516,0.112403100775194,2.10074283243645,0.23613000829712,3.05747648674374,2.89147286821705,2,97.3237924865827,48.865831842577,-47,48,4
pr2,774,886,80,0.6,1,20210517_IL_localeEMS_11_100perc_1daysdelay_pr2_triggeredrollback_reopen,276006,3312,9961,2227,189,0.099441,63,2020-09-04,807,10,43,5,100perc,1daysdelay,"High
transmission
increase",High,20,60,60,2020-12-07,1492,2020-10-19,88,0,1,,,,2456274,516,0.122093023255814,2.10074283243645,0.256486043495148,3.28546408096165,2.89147286821705,3,97.3237924865827,48.865831842577,-46,48,4
pr2,774,886,80,0.6,1,20210517_IL_localeEMS_11_100perc_1daysdelay_pr2_triggeredrollback_reopen,276758,3324,9994,2236,188,0.099441,65,2020-09-05,752,12,33,9,100perc,1daysdelay,"High
transmission
increase",High,20,60,60,2020-12-07,1492,2020-10-19,88,0,1,,,,2456274,516,0.125968992248062,2.10074283243645,0.264628457574359,3.06154769378335,2.89147286821705,4,97.3237924865827,48.865831842577,-45,48,4
pr2,774,886,80,0.6,1,20210517_IL_localeEMS_11_100perc_1daysdelay_pr2_triggeredrollback_reopen,277486,3332,10037,2240,193,0.099441,66,2020-09-06,728,8,43,4,100perc,1daysdelay,"High
transmission
increase",High,20,60,60,2020-12-07,1492,2020-10-19,88,0,1,,,,2456274,516,0.127906976744186,2.10074283243645,0.268699664613964,2.96383872483282,2.89147286821705,5,97.3237924865827,48.865831842577,-44,48,4
pr2,774,886,80,0.6,1,20210517_IL_localeEMS_11_100perc_1daysdelay_pr2_triggeredrollback_reopen,278259,3340,10066,2249,187,0.13074777,63,2020-09-07,773,8,29,9,100perc,1daysdelay,"High
transmission
increase",High,20,60,60,2020-12-07,1492,2020-10-19,88,0,1,1.23049008916635,1.27240476863738,1.31553685822191,2456274,516,0.122093023255814,2.10074283243645,0.256486043495148,3.14704304161506,2.89147286821705,6,97.3237924865827,48.865831842577,-43,48,4
pr2,774,886,80,0.6,1,20210517_IL_localeEMS_11_100perc_1daysdelay_pr2_triggeredrollback_reopen,279072,3345,10099,2258,181,0.13074777,58,2020-09-08,813,5,33,9,100perc,1daysdelay,"High
transmission
increase",High,20,60,60,2020-12-07,1492,2020-10-19,88,0,1,1.20227443105626,1.24259033533821,1.28370990624437,2456274,516,0.112403100775194,2.10074283243645,0.23613000829712,3.30989132319928,2.89147286821705,7,97.3237924865827,48.865831842577,-42,48,4
pr2,774,886,80,0.6,1,20210517_IL_localeEMS_11_100perc_1daysdelay_pr2_triggeredrollback_reopen,279902,3352,10133,2267,184,0.13074777,52,2020-09-09,830,7,34,9,100perc,1daysdelay,"High
transmission
increase",High,20,60,60,2020-12-07,1492,2020-10-19,88,0,1,1.17813037506969,1.21674316678854,1.25621432641868,2456274,516,0.10077519379845,2.10074283243645,0.211702766059487,3.37910184287258,2.89147286821705,8,97.3237924865827,48.865831842577,-41,48,4
pr2,774,886,80,0.6,1,20210517_IL_localeEMS_11_100perc_1daysdelay_pr2_triggeredrollback_reopen,280678,3363,10164,2271,175,0.13074777,58,2020-09-10,776,11,31,4,100perc,1daysdelay,"High
transmission
increase",High,20,60,60,2020-12-07,1492,2020-10-19,88,0,1,1.15818346604599,1.19562411315376,1.23362459954015,2456274,516,0.112403100775194,2.10074283243645,0.23613000829712,3.15925666273388,2.89147286821705,9,97.3237924865827,48.865831842577,-40,48,4
pr2,774,886,80,0.6,1,20210517_IL_localeEMS_11_100perc_1daysdelay_pr2_triggeredrollback_reopen,281560,3370,10200,2278,171,0.13074777,57,2020-09-11,882,7,36,7,100perc,1daysdelay,"High
transmission
increase",High,20,60,60,2020-12-07,1492,2020-10-19,88,0,1,1.14396360971856,1.17999625388648,1.21680774290687,2456274,516,0.11046511627907,2.10074283243645,0.232058801257514,3.59080460893207,2.89147286821705,10,97.3237924865827,48.865831842577,-39,48,4
pr2,774,886,80,0.6,1,20210517_IL_localeEMS_11_100perc_1daysdelay_pr2_triggeredrollback_reopen,282385,3378,10252,2281,190,0.13074777,61,2020-09-12,825,8,52,3,100perc,1daysdelay,"High
transmission
increase",High,20,60,60,2020-12-07,1492,2020-10-19,88,0,1,1.13637119122916,1.17143235928404,1.20728299634615,2456274,516,0.118217054263566,2.10074283243645,0.248343629415937,3.35874580767455,2.89147286821705,11,97.3237924865827,48.865831842577,-38,48,4
pr2,774,886,80,0.6,1,20210517_IL_localeEMS_11_100perc_1daysdelay_pr2_triggeredrollback_reopen,283326,3393,10298,2286,190,0.13074777,67,2020-09-12,941,15,46,5,100perc,1daysdelay,"High
transmission
increase",High,20,60,60,2020-12-07,1492,2020-10-19,88,0,1,1.13637119122916,1.17143235928404,1.20728299634615,2456274,516,0.12984496124031,2.10074283243645,0.27277087165357,3.83100582426879,2.89147286821705,11,97.3237924865827,48.865831842577,-38,48,92
pr2,774,886,80,0.6,1,20210517_IL_localeEMS_11_100perc_1daysdelay_pr2_triggeredrollback_reopen,284205,3404,10343,2301,193,0.13074777,63,2020-09-13,879,11,45,15,100perc,1daysdelay,"High
transmission
increase",High,20,60,60,2020-12-07,1492,2020-10-19,88,0,1,1.13608011018145,1.17048612597644,1.20548967104084,2456274,516,0.122093023255814,2.10074283243645,0.256486043495148,3.57859098781325,2.89147286821705,12,97.3237924865827,48.865831842577,-37,48,4
pr2,774,886,80,0.6,1,20210517_IL_localeEMS_11_100perc_1daysdelay_pr2_triggeredrollback_reopen,285176,3414,10391,2310,205,0.16205454,63,2020-09-14,971,10,48,9,100perc,1daysdelay,"High
transmission
increase",High,20,60,60,2020-12-07,1492,2020-10-19,88,0,1,1.14172950945731,1.17547364440875,1.20993130917412,2456274,516,0.122093023255814,2.10074283243645,0.256486043495148,3.95314203545696,2.89147286821705,13,97.3237924865827,48.865831842577,-36,48,4
pr2,774,886,80,0.6,1,20210517_IL_localeEMS_11_100perc_1daysdelay_pr2_triggeredrollback_reopen,286243,3427,10434,2320,205,0.16205454,65,2020-09-15,1067,13,43,10,100perc,1daysdelay,"High
transmission
increase",High,20,60,60,2020-12-07,1492,2020-10-19,88,0,1,1.15417504185284,1.18758271487201,1.22151406096155,2456274,516,0.125968992248062,2.10074283243645,0.264628457574359,4.34397791125909,2.89147286821705,14,97.3237924865827,48.865831842577,-35,48,4
pr2,774,886,80,0.6,1,20210517_IL_localeEMS_11_100perc_1daysdelay_pr2_triggeredrollback_reopen,287280,3439,10479,2330,208,0.16205454,65,2020-09-16,1037,12,45,10,100perc,1daysdelay,"High
transmission
increase",High,20,60,60,2020-12-07,1492,2020-10-19,88,0,1,1.17391808930789,1.20683788752478,1.24036745112731,2456274,516,0.125968992248062,2.10074283243645,0.264628457574359,4.22184170007092,2.89147286821705,15,97.3237924865827,48.865831842577,-34,48,4
pr2,774,886,80,0.6,1,20210517_IL_localeEMS_11_100perc_1daysdelay_pr2_triggeredrollback_reopen,288344,3454,10531,2340,214,0.16205454,67,2020-09-17,1064,15,52,10,100perc,1daysdelay,"High
transmission
increase",High,20,60,60,2020-12-07,1492,2020-10-19,88,0,1,1.19989414087655,1.23243195641135,1.26563398312164,2456274,516,0.12984496124031,2.10074283243645,0.27277087165357,4.33176429014027,2.89147286821705,16,97.3237924865827,48.865831842577,-33,48,4
pr2,774,886,80,0.6,1,20210517_IL_localeEMS_11_100perc_1daysdelay_pr2_triggeredrollback_reopen,289452,3466,10571,2349,216,0.16205454,67,2020-09-18,1108,12,40,9,100perc,1daysdelay,"High
transmission
increase",High,20,60,60,2020-12-07,1492,2020-10-19,88,0,1,1.23026721911833,1.26253114004521,1.29539075416377,2456274,516,0.12984496124031,2.10074283243645,0.27277087165357,4.51089739988291,2.89147286821705,17,97.3237924865827,48.865831842577,-32,48,4
pr2,774,886,80,0.6,1,20210517_IL_localeEMS_11_100perc_1daysdelay_pr2_triggeredrollback_reopen,290662,3480,10618,2359,215,0.16205454,67,2020-09-19,1210,14,47,10,100perc,1daysdelay,"High
transmission
increase",High,20,60,60,2020-12-07,1492,2020-10-19,88,0,1,1.26082522515839,1.29260213113654,1.32488067017788,2456274,516,0.12984496124031,2.10074283243645,0.27277087165357,4.92616051792268,2.89147286821705,18,97.3237924865827,48.865831842577,-31,48,4
pr2,774,886,80,0.6,1,20210517_IL_localeEMS_11_100perc_1daysdelay_pr2_triggeredrollback_reopen,291951,3487,10664,2366,219,0.16205454,65,2020-09-20,1289,7,46,7,100perc,1daysdelay,"High
transmission
increase",High,20,60,60,2020-12-07,1492,2020-10-19,88,0,1,1.28802802066245,1.31922303296017,1.35095158947265,2456274,516,0.125968992248062,2.10074283243645,0.264628457574359,5.24778587405151,2.89147286821705,19,97.3237924865827,48.865831842577,-30,48,4
pr2,774,886,80,0.6,1,20210517_IL_localeEMS_11_100perc_1daysdelay_pr2_triggeredrollback_reopen,293280,3504,10708,2381,218,0.19336131,65,2020-09-21,1329,17,44,15,100perc,1daysdelay,"High
transmission
increase",High,20,60,60,2020-12-07,1492,2020-10-19,88,0,1,1.30820344637984,1.33864389707101,1.36955293684221,2456274,516,0.125968992248062,2.10074283243645,0.264628457574359,5.41063415563573,2.89147286821705,20,97.3237924865827,48.865831842577,-29,48,4
pr2,774,886,80,0.6,1,20210517_IL_localeEMS_11_100perc_1daysdelay_pr2_triggeredrollback_reopen,294663,3518,10759,2396,229,0.19336131,62,2020-09-22,1383,14,51,15,100perc,1daysdelay,"High
transmission
increase",High,20,60,60,2020-12-07,1492,2020-10-19,88,0,1,1.3205014126174,1.35005679227242,1.38002542402359,2456274,516,0.12015503875969,2.10074283243645,0.252414836455542,5.63047933577443,2.89147286821705,21,97.3237924865827,48.865831842577,-28,48,4
pr2,774,886,80,0.6,1,20210517_IL_localeEMS_11_100perc_1daysdelay_pr2_triggeredrollback_reopen,296209,3529,10805,2401,227,0.19336131,66,2020-09-23,1546,11,46,5,100perc,1daysdelay,"High
transmission
increase",High,20,60,60,2020-12-07,1492,2020-10-19,88,0,1,1.32528394372229,1.3538700762388,1.38284453272026,2456274,516,0.127906976744186,2.10074283243645,0.268699664613964,6.29408608323013,2.89147286821705,22,97.3237924865827,48.865831842577,-27,48,4
pr2,774,886,80,0.6,1,20210517_IL_localeEMS_11_100perc_1daysdelay_pr2_triggeredrollback_reopen,297777,3544,10853,2405,220,0.19336131,74,2020-09-24,1568,15,48,4,100perc,1daysdelay,"High
transmission
increase",High,20,60,60,2020-12-07,1492,2020-10-19,88,0,1,1.32278034648563,1.35020040792783,1.37796828930986,2456274,516,0.143410852713178,2.10074283243645,0.301269320930808,6.38365263810145,2.89147286821705,23,97.3237924865827,48.865831842577,-26,48,4
pr2,774,886,80,0.6,1,20210517_IL_localeEMS_11_100perc_1daysdelay_pr2_triggeredrollback_reopen,299456,3553,10906,2418,228,0.19336131,67,2020-09-25,1679,9,53,13,100perc,1daysdelay,"High
transmission
increase",High,20,60,60,2020-12-07,1492,2020-10-19,88,0,1,1.3158211337079,1.34215314188263,1.368834131047,2456274,516,0.12984496124031,2.10074283243645,0.27277087165357,6.83555661949766,2.89147286821705,24,97.3237924865827,48.865831842577,-25,48,4
