rollback,group_id,scen_num,sample_num,capacity_multiplier,trigger_activated,exp_name,infected_cumul,crit_det_cumul,hosp_det_cumul,death_det_cumul,hosp_det,Ki_t,crit_det,date,new_infected,new_crit_det,new_hosp_det,new_death_det,reopen,delay,reopen_fct,reopen_fct2,rollback_fct,capacity_multiplier_fct,capacity_multiplier_fct2,date_peak,crit_det_peak,triggerDate,N_no_trigger,N_trigger,perc_trigger,rt_lower,rt_median,rt_upper,pop,capacity,rel_occupancy,capacity_per10000,crit_det_per10000,new_infected_per10000,rel_occupancy_peak,time_since_reopen,time_to_peak_after_reopen,time_to_trigger_after_reopen,time_since_trigger,time_to_peak_after_trigger,scen_id
pr2,842,886,80,0.6,1,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,273637,3284,9836,2202,187,0.099441,64,2020-09-01,,,,,50perc,1daysdelay,"Low
transmission
increse",Low,20,60,60,2020-12-07,565,2020-11-10,25,70,0.736842105263158,,,,2456274,516,0.124031007751938,2.10074283243645,0.260557250534753,,1.09496124031008,0,97.3237924865827,70.6726296958879,-71,27,3
pr2,842,886,80,0.6,1,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,274448,3292,9873,2213,191,0.099441,59,2020-09-02,811,8,37,11,50perc,1daysdelay,"Low
transmission
increse",Low,20,60,60,2020-12-07,565,2020-11-10,25,70,0.736842105263158,,,,2456274,516,0.114341085271318,2.10074283243645,0.240201215336726,3.30174890912007,1.09496124031008,1,97.3237924865827,70.6726296958879,-70,27,3
pr2,842,886,80,0.6,1,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,275199,3302,9918,2222,195,0.099441,58,2020-09-03,751,10,45,9,50perc,1daysdelay,"Low
transmission
increse",Low,20,60,60,2020-12-07,565,2020-11-10,25,70,0.736842105263158,,,,2456274,516,0.112403100775194,2.10074283243645,0.23613000829712,3.05747648674374,1.09496124031008,2,97.3237924865827,70.6726296958879,-69,27,3
pr2,842,886,80,0.6,1,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,276006,3312,9961,2227,189,0.099441,63,2020-09-04,807,10,43,5,50perc,1daysdelay,"Low
transmission
increse",Low,20,60,60,2020-12-07,565,2020-11-10,25,70,0.736842105263158,,,,2456274,516,0.122093023255814,2.10074283243645,0.256486043495148,3.28546408096165,1.09496124031008,3,97.3237924865827,70.6726296958879,-68,27,3
pr2,842,886,80,0.6,1,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,276758,3324,9994,2236,188,0.099441,65,2020-09-05,752,12,33,9,50perc,1daysdelay,"Low
transmission
increse",Low,20,60,60,2020-12-07,565,2020-11-10,25,70,0.736842105263158,,,,2456274,516,0.125968992248062,2.10074283243645,0.264628457574359,3.06154769378335,1.09496124031008,4,97.3237924865827,70.6726296958879,-67,27,3
pr2,842,886,80,0.6,1,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,277486,3332,10037,2240,193,0.099441,66,2020-09-06,728,8,43,4,50perc,1daysdelay,"Low
transmission
increse",Low,20,60,60,2020-12-07,565,2020-11-10,25,70,0.736842105263158,,,,2456274,516,0.127906976744186,2.10074283243645,0.268699664613964,2.96383872483282,1.09496124031008,5,97.3237924865827,70.6726296958879,-66,27,3
pr2,842,886,80,0.6,1,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,278258,3340,10066,2249,187,0.117181503,63,2020-09-07,772,8,29,9,50perc,1daysdelay,"Low
transmission
increse",Low,20,60,60,2020-12-07,565,2020-11-10,25,70,0.736842105263158,1.1279020820632,1.17014252382267,1.21344423508931,2456274,516,0.122093023255814,2.10074283243645,0.256486043495148,3.14297183457546,1.09496124031008,6,97.3237924865827,70.6726296958879,-65,27,3
pr2,842,886,80,0.6,1,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,279052,3345,10099,2258,181,0.117181503,58,2020-09-08,794,5,33,9,50perc,1daysdelay,"Low
transmission
increse",Low,20,60,60,2020-12-07,565,2020-11-10,25,70,0.736842105263158,1.11419772915107,1.15529073427329,1.19734656842498,2456274,516,0.112403100775194,2.10074283243645,0.23613000829712,3.23253838944678,1.09496124031008,7,97.3237924865827,70.6726296958879,-64,27,3
pr2,842,886,80,0.6,1,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,279849,3352,10133,2267,184,0.117181503,52,2020-09-09,797,7,34,9,50perc,1daysdelay,"Low
transmission
increse",Low,20,60,60,2020-12-07,565,2020-11-10,25,70,0.736842105263158,1.10120256914485,1.14132378561212,1.18228823874987,2456274,516,0.10077519379845,2.10074283243645,0.211702766059487,3.2447520105656,1.09496124031008,8,97.3237924865827,70.6726296958879,-63,27,3
pr2,842,886,80,0.6,1,20210517_IL_localeEMS_11_50perc_1daysdelay_pr2_triggeredrollback_reopen,280570,3363,10164,2271,175,0.117181503,58,2020-09-10,721,11,31,4,50perc,1daysdelay,"Low
transmission
increse",Low,20,60,60,2020-12-07,565,2020-11-10,25,70,0.736842105263158,1.0888258334434,1.12799632148908,1.16793160755857,2456274,516,0.112403100775194,2.10074283243645,0.23613000829712,2.93534027555558,1.09496124031008,9,97.3237924865827,70.6726296958879,-62,27,3
