rollback,delay,capacity_multiplier,reopen,mean_val,median_val,q5,q95
weak (20%),7daysdelay,0,50perc,0.379112833763997,0.349806201550388,0.11046511627907,0.77296511627907
weak (20%),7daysdelay,0.1,50perc,0.423212308179086,0.408914728682171,0.180426356589147,0.735368217054264
weak (20%),7daysdelay,0.2,50perc,0.513462807191159,0.479651162790698,0.319089147286822,0.830910852713178
weak (20%),7daysdelay,0.3,50perc,0.636382996848113,0.602713178294574,0.441860465116279,0.903100775193798
weak (20%),7daysdelay,0.4,50perc,0.832328452483491,0.779069767441861,0.604651162790698,1.16666666666667
weak (20%),7daysdelay,0.5,50perc,0.931602067183463,0.934108527131783,0.710852713178295,1.13410852713178
weak (20%),7daysdelay,0.6,50perc,1.01847141472868,1.01453488372093,0.823934108527132,1.24331395348837
weak (20%),7daysdelay,0.7,50perc,1.11181478405316,1.1172480620155,0.917151162790698,1.28875968992248
weak (20%),7daysdelay,0.8,50perc,1.2547238372093,1.21124031007752,1.04031007751938,1.59961240310078
weak (20%),7daysdelay,0.9,50perc,1.43184754521964,1.38759689922481,1.15552325581395,1.78100775193798
weak (20%),7daysdelay,1,50perc,1.48017292784735,1.50678294573643,1.25581395348837,1.67490310077519
moderate (40%),7daysdelay,0,50perc,0.142850990525409,0.128875968992248,0.0626937984496124,0.259399224806202
moderate (40%),7daysdelay,0.1,50perc,0.186625679408358,0.178294573643411,0.137596899224806,0.258720930232558
moderate (40%),7daysdelay,0.2,50perc,0.331349206349206,0.329457364341085,0.252228682170543,0.400872093023256
moderate (40%),7daysdelay,0.3,50perc,0.484449981543005,0.48546511627907,0.370445736434109,0.583817829457364
moderate (40%),7daysdelay,0.4,50perc,0.663852606987363,0.641472868217054,0.556201550387597,0.804263565891473
moderate (40%),7daysdelay,0.5,50perc,0.798763109895121,0.795542635658915,0.652131782945737,0.928197674418605
moderate (40%),7daysdelay,0.6,50perc,0.904868761049912,0.901162790697675,0.77093023255814,1.06124031007752
moderate (40%),7daysdelay,0.7,50perc,1.00743553235248,1.00387596899225,0.870542635658915,1.14728682170543
moderate (40%),7daysdelay,0.8,50perc,1.16627026074701,1.13759689922481,0.982848837209302,1.36482558139535
moderate (40%),7daysdelay,0.9,50perc,1.30960770495654,1.27906976744186,1.12558139534884,1.53062015503876
moderate (40%),7daysdelay,1,50perc,1.38339793281654,1.39922480620155,1.23701550387597,1.52102713178295
strong (60%),7daysdelay,0,50perc,0.129350577440278,0.124031007751938,0.0578488372093023,0.216085271317829
strong (60%),7daysdelay,0.1,50perc,0.169810947634868,0.165697674418605,0.127906976744186,0.223740310077519
strong (60%),7daysdelay,0.2,50perc,0.317324773901809,0.319767441860465,0.248062015503876,0.384205426356589
strong (60%),7daysdelay,0.3,50perc,0.457405574797955,0.456395348837209,0.36046511627907,0.550387596899225
strong (60%),7daysdelay,0.4,50perc,0.626529373307182,0.616279069767442,0.537015503875969,0.75484496124031
strong (60%),7daysdelay,0.5,50perc,0.765988372093023,0.755813953488372,0.639341085271318,0.885852713178295
strong (60%),7daysdelay,0.6,50perc,0.87576651625593,0.874031007751938,0.751937984496124,1.00077519379845
strong (60%),7daysdelay,0.7,50perc,0.976676186590507,0.986434108527132,0.853875968992248,1.11356589147287
strong (60%),7daysdelay,0.8,50perc,1.12999403697078,1.11240310077519,0.965406976744186,1.3077519379845
strong (60%),7daysdelay,0.9,50perc,1.28289190353144,1.26259689922481,1.12209302325581,1.54602713178295
strong (60%),7daysdelay,1,50perc,1.35383124627311,1.34883720930233,1.21463178294574,1.48885658914729
very strong (80%),7daysdelay,0,50perc,0.125448028673835,0.12015503875969,0.0596899224806202,0.207364341085271
very strong (80%),7daysdelay,0.1,50perc,0.164466246770026,0.160852713178295,0.125484496124031,0.22093023255814
very strong (80%),7daysdelay,0.2,50perc,0.309431524547804,0.310077519379845,0.244186046511628,0.372480620155039
very strong (80%),7daysdelay,0.3,50perc,0.446022727272727,0.446705426356589,0.353391472868217,0.530813953488372
very strong (80%),7daysdelay,0.4,50perc,0.609241126070991,0.59593023255814,0.514050387596899,0.717538759689923
very strong (80%),7daysdelay,0.5,50perc,0.745581395348837,0.742248062015504,0.631395348837209,0.860852713178295
very strong (80%),7daysdelay,0.6,50perc,0.859665313153685,0.86046511627907,0.740891472868217,0.972674418604651
very strong (80%),7daysdelay,0.7,50perc,0.963246294029648,0.970930232558139,0.848062015503876,1.1015503875969
very strong (80%),7daysdelay,0.8,50perc,1.1156734496124,1.10658914728682,0.949031007751938,1.28420542635659
very strong (80%),7daysdelay,0.9,50perc,1.26476288189694,1.23837209302326,1.12073643410853,1.50213178294574
very strong (80%),7daysdelay,1,50perc,1.34043927648579,1.32945736434109,1.22364341085271,1.46608527131783
weak (20%),7daysdelay,0,100perc,1.74891200870393,1.61046511627907,0.955038759689923,2.63023255813953
weak (20%),7daysdelay,0.1,100perc,1.82862254025045,1.87596899224806,0.965503875968992,3.08100775193798
weak (20%),7daysdelay,0.2,100perc,1.77500272955563,1.65116279069767,1.03585271317829,2.80523255813954
weak (20%),7daysdelay,0.3,100perc,1.88230359828763,1.75968992248062,1.17441860465116,2.78507751937984
weak (20%),7daysdelay,0.4,100perc,2.12424981245311,1.98837209302326,1.26850775193798,3.19447674418605
weak (20%),7daysdelay,0.5,100perc,2.22840964147287,2.15988372093023,1.44757751937984,3.17858527131783
weak (20%),7daysdelay,0.6,100perc,2.20469227155274,2.16375968992248,1.38565891472868,3.10416666666667
weak (20%),7daysdelay,0.7,100perc,2.23357051949555,2.17248062015504,1.42073643410853,3.0515503875969
weak (20%),7daysdelay,0.8,100perc,2.45693046395927,2.37790697674419,1.61434108527132,3.55290697674419
weak (20%),7daysdelay,0.9,100perc,2.46225143242332,2.39728682170543,1.77558139534884,3.33682170542636
weak (20%),7daysdelay,1,100perc,2.55033059735522,2.51065891472868,1.8062984496124,3.40116279069768
moderate (40%),7daysdelay,0,100perc,0.441779715762274,0.413759689922481,0.161337209302326,0.85562015503876
moderate (40%),7daysdelay,0.1,100perc,0.526900067408156,0.511627906976744,0.285077519379845,0.878682170542636
moderate (40%),7daysdelay,0.2,100perc,0.71747556454331,0.695736434108527,0.499418604651163,0.99031007751938
moderate (40%),7daysdelay,0.3,100perc,0.957216885743175,0.929263565891473,0.677519379844961,1.30436046511628
moderate (40%),7daysdelay,0.4,100perc,1.23905244928253,1.1937984496124,0.912015503875969,1.59602713178295
moderate (40%),7daysdelay,0.5,100perc,1.43245614035088,1.4437984496124,1.10562015503876,1.81046511627907
moderate (40%),7daysdelay,0.6,100perc,1.57435400516796,1.56395348837209,1.1578488372093,1.98875968992248
moderate (40%),7daysdelay,0.7,100perc,1.71483942414175,1.72674418604651,1.31007751937985,2.07848837209302
moderate (40%),7daysdelay,0.8,100perc,1.91303044833373,1.92829457364341,1.45852713178295,2.43449612403101
moderate (40%),7daysdelay,0.9,100perc,2.06349991753257,2.01065891472868,1.59282945736434,2.6281007751938
moderate (40%),7daysdelay,1,100perc,2.17267228895136,2.16279069767442,1.70348837209302,2.65988372093023
strong (60%),7daysdelay,0,100perc,0.235671284842487,0.221899224806202,0.102616279069767,0.433042635658915
strong (60%),7daysdelay,0.1,100perc,0.293241279069767,0.288759689922481,0.19718992248062,0.41812015503876
strong (60%),7daysdelay,0.2,100perc,0.531354549163607,0.525193798449612,0.413178294573643,0.668410852713178
strong (60%),7daysdelay,0.3,100perc,0.768491602067184,0.770348837209302,0.61531007751938,0.930232558139535
strong (60%),7daysdelay,0.4,100perc,1.01342458010336,1.0077519379845,0.802325581395349,1.25872093023256
strong (60%),7daysdelay,0.5,100perc,1.23237454100367,1.25,0.988565891472868,1.46414728682171
strong (60%),7daysdelay,0.6,100perc,1.38133414932681,1.36434108527132,1.05445736434109,1.62480620155039
strong (60%),7daysdelay,0.7,100perc,1.55268895348837,1.56782945736434,1.26598837209302,1.82218992248062
strong (60%),7daysdelay,0.8,100perc,1.74264356905553,1.7422480620155,1.39932170542636,2.10726744186047
strong (60%),7daysdelay,0.9,100perc,1.90313992639574,1.86627906976744,1.51414728682171,2.32422480620155
strong (60%),7daysdelay,1,100perc,2.02585998062016,2.00193798449612,1.61676356589147,2.41860465116279
very strong (80%),7daysdelay,0,100perc,0.214349160206718,0.206395348837209,0.0906007751937984,0.354166666666667
very strong (80%),7daysdelay,0.1,100perc,0.265503875968992,0.257751937984496,0.185755813953488,0.362209302325581
very strong (80%),7daysdelay,0.2,100perc,0.484941860465116,0.48546511627907,0.386918604651163,0.593410852713178
very strong (80%),7daysdelay,0.3,100perc,0.708063613841605,0.707364341085271,0.585271317829457,0.839922480620155
very strong (80%),7daysdelay,0.4,100perc,0.948585271317829,0.936046511627907,0.770542635658915,1.15920542635659
very strong (80%),7daysdelay,0.5,100perc,1.15327695560254,1.17248062015504,0.936046511627907,1.36841085271318
very strong (80%),7daysdelay,0.6,100perc,1.30598177894989,1.3062015503876,1.02325581395349,1.54728682170543
very strong (80%),7daysdelay,0.7,100perc,1.47987322351421,1.48158914728682,1.22141472868217,1.7156007751938
very strong (80%),7daysdelay,0.8,100perc,1.65873491568768,1.64922480620155,1.29418604651163,1.98914728682171
very strong (80%),7daysdelay,0.9,100perc,1.82334060077519,1.79651162790698,1.46027131782946,2.18604651162791
very strong (80%),7daysdelay,1,100perc,1.95211914391641,1.92732558139535,1.59864341085271,2.3109496124031
