scen_num,sample_num,exp_name,date,reopen,crit_det,date_min,date_max,days_above
90,89,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-10-23,100perc,516,2020-10-23,2021-01-21,90.0715563506274
117,116,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-10-23,100perc,534,2020-10-23,2021-01-25,93.8640429338123
167,166,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-10-23,100perc,518,2020-10-23,2021-01-25,93.8640429338123
160,159,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-10-24,100perc,530,2020-10-24,2021-01-26,93.8640429338123
254,253,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-10-24,100perc,538,2020-10-24,2021-01-24,91.9677996422185
170,169,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-10-25,100perc,537,2020-10-25,2021-01-25,91.9677996422185
312,311,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-10-25,100perc,528,2020-10-25,2021-01-15,81.5384615384594
314,313,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-10-25,100perc,519,2020-10-25,2021-01-14,80.5903398926639
40,39,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-10-26,100perc,521,2020-10-26,2021-01-22,88.1753130590364
239,238,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-10-27,100perc,523,2020-10-27,2021-01-21,86.2790697674426
302,301,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-10-27,100perc,524,2020-10-27,2021-01-25,90.0715563506274
356,355,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-10-27,100perc,528,2020-10-27,2021-01-23,88.1753130590336
16,15,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-10-28,100perc,531,2020-10-28,2021-01-16,79.6422182468711
22,21,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-10-28,100perc,518,2020-10-28,2021-01-17,80.5903398926639
23,22,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-10-28,100perc,520,2020-10-28,2021-01-25,89.1234347048319
62,61,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-10-28,100perc,525,2020-10-28,2021-01-27,91.0196779964202
186,185,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-10-28,100perc,536,2020-10-28,2021-01-22,86.2790697674426
192,191,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-10-28,100perc,539,2020-10-28,2021-01-26,90.0715563506274
291,290,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-10-28,100perc,518,2020-10-28,2021-01-23,87.2271914132381
44,43,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-10-29,100perc,522,2020-10-29,2021-01-19,82.486583184255
86,85,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-10-29,100perc,541,2020-10-29,2021-02-04,97.6565295169917
316,315,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-10-29,100perc,537,2020-10-29,2021-01-23,86.2790697674398
322,321,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-10-29,100perc,536,2020-10-29,2021-02-02,95.7602862254006
330,329,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-10-29,100perc,527,2020-10-29,2021-01-18,80.5903398926639
340,339,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-10-29,100perc,526,2020-10-29,2021-01-17,79.6422182468656
341,340,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-10-29,100perc,549,2020-10-29,2021-01-21,84.3828264758488
374,373,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-10-29,100perc,526,2020-10-29,2021-01-26,89.1234347048292
388,387,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-10-29,100perc,527,2020-10-29,2021-01-21,84.3828264758488
88,87,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-10-30,100perc,529,2020-10-30,2021-02-04,96.7084078711989
129,128,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-10-30,100perc,560,2020-10-30,2021-01-28,90.0715563506274
313,312,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-10-30,100perc,534,2020-10-30,2021-01-21,83.434704830056
323,322,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-10-30,100perc,531,2020-10-30,2021-01-18,79.6422182468711
343,342,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-10-30,100perc,534,2020-10-30,2021-02-04,96.7084078711989
60,59,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-10-31,100perc,529,2020-10-31,2021-01-18,78.6940966010728
113,112,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-10-31,100perc,539,2020-10-31,2021-01-31,91.9677996422157
128,127,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-10-31,100perc,527,2020-10-31,2021-01-21,82.4865831842577
216,215,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-10-31,100perc,550,2020-10-31,2021-01-24,85.3309481216443
292,291,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-10-31,100perc,535,2020-10-31,2021-02-05,96.7084078711989
385,384,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-10-31,100perc,522,2020-10-31,2021-01-31,91.9677996422157
5,4,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-11-01,100perc,528,2020-11-01,2021-01-18,77.7459749552773
15,14,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-11-01,100perc,549,2020-11-01,2021-02-03,93.8640429338095
45,44,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-11-01,100perc,526,2020-11-01,2021-02-06,97.6565295169944
79,78,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-11-01,100perc,521,2020-11-01,2021-01-17,76.797853309479
82,81,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-11-01,100perc,517,2020-11-01,2021-01-23,83.4347048300533
297,296,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-11-01,100perc,527,2020-11-01,2021-02-06,96.7084078711961
318,317,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-11-01,100perc,523,2020-11-01,2021-01-25,85.330948121647
391,390,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-11-01,100perc,524,2020-11-01,2021-02-03,93.8640429338095
392,391,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-11-01,100perc,518,2020-11-01,2021-02-10,101.449016100179
96,95,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-11-02,100perc,547,2020-11-02,2021-01-31,90.0715563506219
97,96,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-11-02,100perc,542,2020-11-02,2021-01-27,86.2790697674371
120,119,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-11-02,100perc,533,2020-11-02,2021-01-21,80.5903398926639
238,237,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-11-02,100perc,537,2020-11-02,2021-01-22,81.5384615384594
399,398,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-11-02,100perc,516,2020-11-02,2021-02-11,101.449016100177
53,52,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-11-03,100perc,524,2020-11-03,2021-02-05,93.8640429338123
115,114,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-11-03,100perc,553,2020-11-03,2021-02-02,91.019677996423
185,184,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-11-03,100perc,543,2020-11-03,2021-01-26,84.3828264758515
190,189,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-11-03,100perc,524,2020-11-03,2021-01-18,75.8497316636863
197,196,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-11-03,100perc,519,2020-11-03,2021-02-01,90.0715563506274
201,200,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-11-03,100perc,525,2020-11-03,2021-02-12,101.449016100182
205,204,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-11-03,100perc,520,2020-11-03,2021-02-04,92.915921288014
207,206,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-11-03,100perc,533,2020-11-03,2021-01-28,86.2790697674426
224,223,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-11-03,100perc,523,2020-11-03,2021-02-01,90.0715563506274
333,332,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-11-03,100perc,516,2020-11-03,2021-02-06,94.8121645796051
353,352,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-11-03,100perc,531,2020-11-03,2021-01-18,75.8497316636863
68,67,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-11-04,100perc,538,2020-11-04,2021-01-25,82.4865831842577
111,110,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-11-04,100perc,537,2020-11-04,2021-02-11,99.5527728085855
246,245,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-11-04,100perc,534,2020-11-04,2021-01-09,66.36851520572
309,308,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-11-04,100perc,542,2020-11-04,2021-01-31,88.1753130590309
331,330,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-11-04,100perc,522,2020-11-04,2021-02-07,95.7602862254006
346,345,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-11-04,100perc,534,2020-11-04,2021-02-08,96.7084078711934
8,7,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-11-05,100perc,520,2020-11-05,2021-02-05,91.9677996422185
10,9,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-11-05,100perc,522,2020-11-05,2021-01-28,84.3828264758488
50,49,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-11-05,100perc,546,2020-11-05,2021-01-29,85.330948121647
80,79,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-11-05,100perc,516,2020-11-05,2021-02-06,92.9159212880113
89,88,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-11-05,100perc,523,2020-11-05,2021-02-15,102.397137745975
161,160,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-11-05,100perc,519,2020-11-05,2021-01-30,86.2790697674398
171,170,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-11-05,100perc,518,2020-11-05,2021-01-18,74.901610017888
232,231,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-11-05,100perc,524,2020-11-05,2021-01-26,82.4865831842577
240,239,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-11-05,100perc,523,2020-11-05,2021-01-28,84.3828264758488
286,285,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-11-05,100perc,519,2020-11-05,2021-01-20,76.797853309479
303,302,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-11-05,100perc,523,2020-11-05,2021-02-03,90.0715563506247
324,323,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-11-05,100perc,558,2020-11-05,2021-01-29,85.330948121647
46,45,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-11-06,100perc,551,2020-11-06,2021-01-21,76.7978533094845
95,94,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-11-06,100perc,527,2020-11-06,2021-02-03,89.1234347048319
103,102,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-11-06,100perc,554,2020-11-06,2021-01-23,78.6940966010756
176,175,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-11-06,100perc,525,2020-11-06,2021-01-24,79.6422182468711
178,177,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-11-06,100perc,527,2020-11-06,2021-01-17,72.0572450805014
237,236,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-11-06,100perc,525,2020-11-06,2021-01-30,85.330948121647
241,240,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-11-06,100perc,535,2020-11-06,2021-02-04,90.0715563506274
248,247,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-11-06,100perc,523,2020-11-06,2021-02-07,93.8640429338123
282,281,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-11-06,100perc,525,2020-11-06,2021-01-25,80.5903398926694
335,334,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-11-06,100perc,549,2020-11-06,2021-01-19,74.9016100178907
365,364,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-11-06,100perc,519,2020-11-06,2021-01-27,82.4865831842577
371,370,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-11-06,100perc,524,2020-11-06,2021-01-20,75.8497316636863
393,392,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-11-06,100perc,520,2020-11-06,2021-02-03,89.1234347048319
394,393,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-11-06,100perc,531,2020-11-06,2021-02-01,87.2271914132409
13,12,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-11-06,100perc,563,2020-11-06,2021-01-13,67.3166368515182
26,25,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-11-06,100perc,524,2020-11-06,2021-01-29,83.434704830056
39,38,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-11-06,100perc,530,2020-11-06,2021-01-17,71.1091234347031
51,50,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-11-06,100perc,529,2020-11-06,2021-01-23,77.7459749552773
172,171,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-11-06,100perc,552,2020-11-06,2021-01-31,85.3309481216443
177,176,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-11-06,100perc,545,2020-11-06,2021-01-26,80.5903398926666
226,225,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-11-06,100perc,536,2020-11-06,2021-02-08,93.8640429338068
294,293,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-11-06,100perc,529,2020-11-06,2021-01-22,76.7978533094818
327,326,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-11-06,100perc,532,2020-11-06,2021-01-27,81.5384615384594
334,333,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-11-06,100perc,529,2020-11-06,2021-01-24,78.6940966010728
348,347,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-11-06,100perc,527,2020-11-06,2021-02-03,88.1753130590336
375,374,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-11-06,100perc,539,2020-11-06,2021-01-27,81.5384615384594
387,386,20210516_IL_localeEMS_11_100perc_counterfactual_reopen,2020-11-06,100perc,522,2020-11-06,2021-01-19,73.9534883720925
