reopen,mitigation,delay,capacity_multiplier,n,rel_occupancy_peak_lower,rel_occupancy_peak_median,rel_occupancy_peak_upper,time_to_peak_after_reopen_lower,time_to_peak_after_reopen_median,time_to_peak_after_reopen_upper,time_to_peak_after_trigger_lower,time_to_peak_after_trigger_median,time_to_peak_after_trigger_upper,time_to_trigger_after_reopen_lower,time_to_trigger_after_reopen_median,time_to_trigger_after_reopen_upper
High,weak (20%),1 day,0.4,12750,1.21124031007752,2.12984496124031,3.21899224806202,101.116279069768,113.915921288013,120.078711985692,45,59,67,44.1252236135939,52.1842576028628,67.8282647584958
High,weak (20%),1 day,0.6,17085,1.30813953488372,2.09108527131783,3.00968992248062,97.3237924865827,110.597495527728,120.078711985692,32,48,60,52.6583184257619,62.1395348837227,73.5169946332745
High,weak (20%),1 day,0.8,19890,1.49612403100775,2.2781007751938,3.40697674418605,97.3237924865827,108.701252236137,119.130590339894,27,43,53,58.3470483005378,65.9320214669048,82.050089445437
High,weak (20%),1 day,1,20655,1.67248062015504,2.27906976744186,3.05426356589147,96.3756708407844,106.805008944543,118.182468694095,21,34,45,61.1914132379244,73.5169946332745,83.9463327370281
High,moderate (40%),1 day,0.4,23460,0.701550387596899,0.934108527131783,1.27325581395349,80.2576028622521,92.1091234347059,111.545617173524,20,34,63,45.0733452593922,56.4508050089468,74.46511627907
High,moderate (40%),1 day,0.6,24225,0.916666666666667,1.21705426356589,1.55813953488372,79.3094812164566,91.6350626118067,104.908765652952,15,27,45,52.6583184257619,63.0876565295182,86.7906976744201
High,moderate (40%),1 day,0.8,24225,1.16279069767442,1.53294573643411,1.94961240310078,79.3094812164566,92.583184257605,104.908765652952,15,22,36,58.3470483005378,68.7763864042941,84.8944543828264
High,moderate (40%),1 day,1,23205,1.49806201550388,1.76162790697674,2.1531007751938,81.2057245080504,93.5313059033978,106.805008944543,13,21,28,61.1914132379244,73.5169946332745,86.7906976744201
High,strong (60%),1 day,0.4,23460,0.606589147286822,0.750968992248062,0.89922480620155,61.2951699463333,72.1985688729888,89.7388193202129,12,16,21,45.0733452593922,56.4508050089468,75.4132379248656
High,strong (60%),1 day,0.6,24225,0.864341085271318,1.0484496124031,1.23449612403101,68.8801431127003,80.2576028622521,97.3237924865827,11,16,21,52.6583184257619,63.0876565295182,86.7906976744201
High,strong (60%),1 day,0.8,24480,1.08720930232558,1.35077519379845,1.55813953488372,74.568872987479,83.1019677996415,97.3237924865827,11,15,19,60.2432915921316,68.302325581395,84.8944543828264
High,strong (60%),1 day,1,23460,1.36046511627907,1.59011627906977,1.84496124031008,77.4132379248656,88.7906976744202,102.064400715563,11,14,18,61.1914132379244,73.5169946332745,91.5313059033978
High,very strong (80%),1 day,0.4,23460,0.560077519379845,0.690891472868217,0.808139534883721,56.5545617173529,70.302325581395,86.8944543828263,11,13,17,45.0733452593922,56.4508050089468,74.46511627907
High,very strong (80%),1 day,0.6,22950,0.846899224806202,0.968023255813953,1.13178294573643,65.0876565295182,76.46511627907,95.4275491949916,10,13,17,52.6583184257619,63.5617173524146,86.7906976744201
High,very strong (80%),1 day,0.8,24225,1.05426356589147,1.27131782945736,1.4593023255814,70.7763864042941,81.2057245080504,97.3237924865827,10,13,16,58.3470483005378,68.7763864042941,84.8944543828264
High,very strong (80%),1 day,1,21165,1.3468992248062,1.52131782945736,1.73837209302326,73.6207513416807,84.9982110912353,98.2719141323809,10,12,15,61.1914132379244,73.5169946332745,86.7906976744201
Low,weak (20%),1 day,0.4,6120,0.565891472868217,0.684108527131783,1.01937984496124,101.116279069768,114.38998211091,119.130590339894,15,34.5,60,59.2951699463333,76.8354203935602,95.3237924865826
Low,weak (20%),1 day,0.6,6120,0.76937984496124,0.912790697674419,1.13953488372093,98.2719141323809,115.338103756709,120.078711985692,15,24.5,43,71.6207513416807,87.2647584973166,101.012522361361
Low,weak (20%),1 day,0.8,4590,0.951550387596899,1.09593023255814,1.39147286821705,99.2200357781765,116.286225402507,119.130590339894,11,21.5,28,82.9982110912353,92.4794275491961,107.649373881933
Low,weak (20%),1 day,1,2295,1.03294573643411,1.33527131782946,1.4922480620155,103.960644007154,116.286225402507,117.2343470483,2,19,28,87.7388193202129,96.2719141323809,113.338103756709
Low,moderate (40%),1 day,0.4,17085,0.496124031007752,0.550387596899225,0.656976744186046,78.3613595706638,98.2719141323809,115.338103756709,11,17,25,63.0876565295182,78.2576028622521,99.1162790697675
Low,moderate (40%),1 day,0.6,15045,0.686046511627907,0.790697674418605,0.910852713178295,86.8944543828263,103.012522361361,120.078711985692,7,13,19,72.568872987479,87.7388193202129,108.597495527728
Low,moderate (40%),1 day,0.8,9690,0.895348837209302,1.0406976744186,1.18217054263566,101.116279069768,112.019677996423,120.078711985692,8,12,21,87.7388193202129,96.7459749552787,108.597495527728
Low,moderate (40%),1 day,1,4845,1.03294573643411,1.25,1.37596899224806,100.168157423969,111.545617173524,119.130590339894,2,11,19,87.7388193202129,99.1162790697675,113.338103756709
Low,strong (60%),1 day,0.4,19890,0.445736434108527,0.521317829457364,0.622093023255814,73.6207513416807,91.6350626118067,115.338103756709,8,12,17,60.2432915921316,77.7835420393544,103.856887298748
Low,strong (60%),1 day,0.6,15045,0.668604651162791,0.755813953488372,0.883720930232558,84.050089445437,103.012522361361,119.130590339894,6,11,17,72.568872987479,89.6350626118067,110.493738819322
Low,strong (60%),1 day,0.8,10710,0.897286821705426,1.01841085271318,1.0968992248062,100.168157423969,109.649373881933,119.130590339894,7,11,15,87.7388193202129,97.6940966010728,108.597495527728
Low,strong (60%),1 day,1,5355,1.07558139534884,1.22480620155039,1.34302325581395,97.3237924865827,111.545617173524,117.2343470483,5,11,15,89.6350626118067,99.1162790697675,110.493738819322
Low,very strong (80%),1 day,0.4,19125,0.441860465116279,0.50968992248062,0.593023255813954,71.7245080500896,89.7388193202129,115.338103756709,6,11,15,63.0876565295182,77.3094812164566,103.856887298748
Low,very strong (80%),1 day,0.6,16065,0.668604651162791,0.748062015503876,0.848837209302326,84.050089445437,101.116279069768,118.182468694095,6,11,14,74.46511627907,89.6350626118067,110.493738819322
Low,very strong (80%),1 day,0.8,11220,0.887596899224806,0.99515503875969,1.08527131782946,96.3756708407844,109.175313059035,119.130590339894,6,10,11,87.7388193202129,99.1162790697675,108.597495527728
Low,very strong (80%),1 day,1,5355,1.06976744186047,1.21705426356589,1.31782945736434,97.3237924865827,110.597495527728,119.130590339894,5,11,13,89.6350626118067,100.064400715563,110.493738819322
,,,0.4,11475,1.19186046511628,2.12596899224806,3.20348837209302,102.064400715563,111.545617173524,120.078711985692,36,49,61,51.7101967799636,60.2432915921316,74.46511627907
,,,0.6,15300,1.42587209302326,2.19186046511628,3.01056201550378,94.3846153846166,108.701252236137,119.130590339894,22,40,47.0499999999993,58.3470483005378,69.7245080500897,83.0456171735242
,,,0.8,15555,1.72286821705426,2.41085271317829,3.61046511627907,95.4275491949916,107.753130590339,117.2343470483,22,35,42,64.9838998211093,74.46511627907,86.7906976744201
,,,1,15555,1.83527131782946,2.50581395348837,3.27519379844961,94.4794275491961,104.908765652952,115.338103756709,18,27,36,66.8801431127003,79.2057245080504,87.7388193202129
,,,0.4,23715,0.906976744186047,1.19186046511628,1.58720930232558,80.2576028622521,90.6869409660112,104.908765652952,17,27,44,50.7620751341681,63.0876565295182,81.1019677996415
,,,0.6,22950,1.15697674418605,1.56395348837209,1.9922480620155,80.2576028622521,91.6350626118067,107.753130590339,14,21,32,58.3470483005378,69.7245080500897,89.6350626118067
,,,0.8,24480,1.47480620155039,1.9312015503876,2.4515503875969,84.050089445437,94.4794275491961,107.753130590339,14,20,27,64.035778175311,73.5169946332745,89.6350626118067
,,,1,22950,1.70348837209302,2.1656976744186,2.67441860465116,87.8425760286219,95.4275491949916,111.545617173524,12,18,24,66.8801431127003,79.2057245080504,95.3237924865826
,,,0.4,20655,1.4922480620155|1.03488372093023,2.33914728682171|1.36240310077519,3.46899224806202|1.71124031007752,95.4275491949916|69.8282647584958,107.753130590339|82.1538461538487,118.182468694095|98.2719141323809,29|11,39|13,48|16,58.3470483005378|58.3470483005378,67.8282647584958|69.7245080500897,80.1538461538487|86.7906976744201
,,,0.6,23970,1.60852713178295,2.50872093023256,3.50387596899225,94.4794275491961,107.279069767441,119.130590339894,19,31,41,64.9838998211093,76.3613595706638,90.583184257605
,,,0.8,22950,1.92441860465116,2.73158914728682,3.94186046511628,94.4794275491961,105.38282647585,117.2343470483,17,25,32,71.6207513416807,79.2057245080504,92.4794275491961
,,,1,22440,2.09496124031008,2.8062015503876,3.96124031007752,94.4794275491961,104.908765652952,116.286225402507,12,20,28,74.46511627907,86.316636851521,97.2200357781765
,,,0.4,25500,1.14040697674419|0.770542635658916,1.5843023255814|0.936046511627907,2.15717054263566|1.15920542635659,82.1538461538487|64.0447227191432,91.6350626118067|75.5169946332745,107.800536672628|91.6824686940959,14.95|11,22.5|13,31.0499999999993|15,58.3470483005378|51.6627906976739,69.7245080500897|63.0876565295182,87.7388193202129|80.2012522361377
,,,0.6,24990,1.4031007751938,2,2.63372093023256,84.9982110912353,94.9534883720938,109.649373881933,13,18,25,64.9838998211093,76.3613595706638,97.2200357781765
,,,0.8,24735,1.67441860465116|1.67248062015504|1.27713178294574,2.3953488372093|2.23837209302326|1.64922480620155,3.17054263565891|2.90116279069767|1.9922480620155,87.8425760286219|84.050089445437|77.4132379248656,96.3756708407844|94.4794275491961|86.8944543828263,111.545617173524|108.701252236137|102.064400715563,11|10|10,16|13|12,21|17|15,71.6207513416807|71.6207513416807|64.035778175311,80.1538461538487|81.1019677996415|74.46511627907,96.2719141323809|96.2719141323809|91.5313059033978
,,,1,23970,2.03100775193798,2.60755813953488,3.34883720930233,89.7388193202129,101.116279069768,112.493738819322,11,15,18,74.46511627907,86.316636851521,99.1162790697675
,,,0.4,25245,1.05232558139535,1.39728682170543,1.83527131782946,72.6726296958879,84.050089445437,102.064400715563,11,15,18,58.3470483005378,69.7245080500897,87.7388193202129
,,,0.6,24480,1.35852713178295,1.85658914728682,2.29263565891473,80.2576028622521,90.6869409660112,109.649373881933,11,14,17,64.9838998211093,77.3094812164566,97.2200357781765
,,,1,23205,2.00387596899225|1.63178294573643,2.50193798449612|1.93023255813954,3.13953488372093|2.31201550387597,86.8944543828263|79.3094812164566,98.2719141323809|90.6869409660112,111.545617173524|105.856887298748,9|10,12|12,16|15,74.46511627907|66.8801431127003,86.7906976744201|79.2057245080504,99.1162790697675|95.3237924865826
,,,0.6,21675,1.31201550387597,1.78294573643411,2.19961240310078,77.4132379248656,88.7906976744202,103.960644007154,10,12,15,65.9320214669048,77.3094812164566,91.5313059033978
,,,0.8,20655,1.66666666666667,2.17248062015504,2.78100775193798,83.1019677996415,93.5313059033978,107.753130590339,9,11,14,72.568872987479,81.1019677996415,96.2719141323809
,,,1,18870,1.99806201550388,2.48546511627907,2.99612403100775,84.050089445437,95.901610017888,110.597495527728,8,11,14,73.5169946332745,85.8425760286219,99.1162790697675
,,,0.4,24480,0.802325581395349,1.0077519379845,1.26744186046512,65.0876565295182,79.3094812164566,94.4794275491961,11,15,20,50.7620751341681,63.0876565295182,81.1019677996415
,,,0.6,24225,1.03682170542636,1.36434108527132,1.63565891472868,72.6726296958879,84.9982110912353,103.960644007154,11,15,20,58.3470483005378,69.7245080500897,92.4794275491961
,,,0.8,24990,1.31201550387597,1.7422480620155,2.12209302325581,79.3094812164566,88.316636851521,104.908765652952,11,14,19,64.035778175311,73.5169946332745,91.5313059033978
,,,1,24225,1.61821705426357,2.00387596899225,2.44186046511628,81.2057245080504,92.583184257605,106.805008944543,10,13,17,66.8801431127003,79.2057245080504,95.3237924865826
,,,0.6,24735,1.01550387596899,1.3062015503876,1.55813953488372,69.8282647584958,83.1019677996415,103.960644007154,9,12,16,58.3470483005378,69.7245080500897,92.4794275491961
