reopen,delay,mitigation,n_trajectories,n_trajectories_success,n_trajectories_trigger,n_trajectories_peakBeforeDec,n_traces,n_traces_trigger,n_traces_peakBeforeDec,success,trigger,peakBeforeDec,traces,traces_trigger,traces_peakBeforeDec
High,1 day,weak (20%),4400,4007,4007,2349,979,979,577,0.911,1,0.586,0.244,1,0.589
High,1 day,moderate (40%),4400,4114,4114,3439,1030,1030,855,0.935,1,0.836,0.25,1,0.83
High,1 day,strong (60%),4400,3998,3998,3982,1028,1028,1025,0.909,1,0.996,0.257,1,0.997
High,1 day,very strong (80%),4400,4124,4124,4110,1002,1002,999,0.937,1,0.997,0.243,1,0.997
High,7 days,weak (20%),4400,4166,4166,2442,1047,1047,622,0.947,1,0.586,0.251,1,0.594
High,7 days,moderate (40%),4400,4002,4002,3350,998,998,830,0.91,1,0.837,0.249,1,0.832
High,7 days,strong (60%),4400,4114,4114,4101,1029,1029,1027,0.935,1,0.997,0.25,1,0.998
High,7 days,very strong (80%),4400,4055,4054,4043,1010,1009,1007,0.922,1,0.997,0.249,0.999,0.997
Low,1 day,weak (20%),4400,4164,3937,825,1044,996,172,0.946,0.945,0.198,0.251,0.954,0.165
Low,1 day,moderate (40%),4400,3982,3760,2655,1014,966,681,0.905,0.944,0.667,0.255,0.953,0.672
Low,1 day,strong (60%),4400,4130,3892,2853,1024,972,716,0.939,0.942,0.691,0.248,0.949,0.699
Low,1 day,very strong (80%),4400,3995,3784,2827,995,950,720,0.908,0.947,0.708,0.249,0.955,0.724
Low,7 days,weak (20%),4400,4055,3839,821,980,928,161,0.922,0.947,0.202,0.242,0.947,0.164
Low,7 days,moderate (40%),4400,4190,3955,2802,1053,1001,715,0.952,0.944,0.669,0.251,0.951,0.679
Low,7 days,strong (60%),4400,4043,3826,2830,1027,983,739,0.919,0.946,0.7,0.254,0.957,0.72
Low,7 days,very strong (80%),4400,3999,3801,2853,1010,970,728,0.909,0.95,0.713,0.253,0.96,0.721
